State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ADELAIDE,5000,Adelaide,,
SA,ALLENBY GARDENS,5009,Adelaide,,
SA,ANGLE PARK,5010,Adelaide,,
SA,ASHFORD,5035,Adelaide,,
SA,BLAIR ATHOL,5084,Adelaide,,
SA,BOWDEN,5007,Adelaide,,
SA,BROADVIEW,5083,Adelaide,,
SA,BROMPTON,5007,Adelaide,,
SA,CLEARVIEW,5085,Adelaide,,
SA,COLLINSWOOD,5081,Adelaide,,
SA,COWANDILLA,5033,Adelaide,,
SA,CROYDON,5008,Adelaide,,
SA,CROYDON PARK,5008,Adelaide,,
SA,DEVON PARK,5008,Adelaide,,
SA,DUDLEY PARK,5008,Adelaide,,
SA,EASTWOOD,5063,Adelaide,,
SA,ENFIELD,5085,Adelaide,,
SA,EVERARD PARK,5035,Adelaide,,
SA,FERRYDEN PARK,5010,Adelaide,,
SA,FITZROY,5082,Adelaide,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,FLINDERS PARK,5025,Adelaide,,
SA,FORESTVILLE,5035,Adelaide,,
SA,FULLARTON,5063,Adelaide,,
SA,GILBERTON,5081,Adelaide,,
SA,GLANDORE,5037,Adelaide,,
SA,GOODWOOD,5034,Adelaide,,
SA,GREENACRES,5086,Adelaide,,
SA,HAMPSTEAD GARDENS,5086,Adelaide,,
SA,HIGHGATE,5063,Adelaide,,
SA,HILTON,5033,Adelaide,,
SA,HINDMARSH,5007,Adelaide,,
SA,HYDE PARK,5061,Adelaide,,
SA,KESWICK,5035,Adelaide,,
SA,KILBURN,5084,Adelaide,,
SA,KILKENNY,5009,Adelaide,,
SA,KURRALTA PARK,5037,Adelaide,,
SA,LIGHTSVIEW,5085,Adelaide,,
SA,MALVERN,5061,Adelaide,,
SA,MANNINGHAM,5086,Adelaide,,
SA,MANSFIELD PARK,5012,Adelaide,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,MARLESTON,5033,Adelaide,,
SA,MEDINDIE,5081,Adelaide,,
SA,MEDINDIE GARDENS,5081,Adelaide,,
SA,MILE END,5031,Adelaide,,
SA,MILE END SOUTH,5031,Adelaide,,
SA,MILLSWOOD,5034,Adelaide,,
SA,NAILSWORTH,5083,Adelaide,,
SA,NORTH ADELAIDE,5006,Adelaide,,
SA,NORTH PLYMPTON,5037,Adelaide,,
SA,NORTHFIELD,5085,Adelaide,,
SA,NORTHGATE,5085,Adelaide,,
SA,OVINGHAM,5082,Adelaide,,
SA,PARKSIDE,5063,Adelaide,,
SA,PLYMPTON,5038,Adelaide,,
SA,PROSPECT,5082,Adelaide,,
SA,REGENCY PARK,5010,Adelaide,,
SA,RENOWN PARK,5008,Adelaide,,
SA,RICHMOND,5033,Adelaide,,
SA,RIDLEYTON,5008,Adelaide,,
SA,SEFTON PARK,5083,Adelaide,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,THEBARTON,5031,Adelaide,,
SA,THORNGATE,5082,Adelaide,,
SA,TORRENSVILLE,5031,Adelaide,,
SA,UNDERDALE,5032,Adelaide,,
SA,UNLEY,5061,Adelaide,,
SA,UNLEY PARK,5061,Adelaide,,
SA,VALE PARK,5081,Adelaide,,
SA,WALKERVILLE,5081,Adelaide,,
SA,WAYVILLE,5034,Adelaide,,
SA,WELLAND,5007,Adelaide,,
SA,WEST CROYDON,5008,Adelaide,,
SA,WEST HINDMARSH,5007,Adelaide,,
SA,WOODVILLE GARDENS,5012,Adelaide,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
