State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ADDINGTON,3352,Ballarat,,
VIC,ALFREDTON,3350,Ballarat,,
VIC,ALLENDALE,3364,Ballarat,,
VIC,ASCOT,3364,Ballarat,,
VIC,BACCHUS MARSH,3340,Ballarat,,
VIC,BAKERY HILL,3350,Ballarat,,
VIC,BALD HILLS,3364,Ballarat,,
VIC,BALLAN,3342,Ballarat,,
VIC,BALLARAT,3350,Ballarat,,BALLARAT CENTRAL
VIC,BALLARAT,3350,Ballarat,,BALLARAT NORTH
VIC,BALLARAT,3350,Ballarat,,REDAN
VIC,BALLARAT,3350,Ballarat,,SOLDIERS HILL
VIC,BALLARAT CENTRAL,3350,Ballarat,,
VIC,BALLARAT EAST,3350,Ballarat,,
VIC,BALLARAT NORTH,3350,Ballarat,,
VIC,BALLIANG,3340,Ballarat,,
VIC,BALLIANG EAST,3340,Ballarat,,
VIC,BARKSTEAD,3364,Ballarat,,
VIC,BARRYS REEF,3458,Ballarat,,
VIC,BASALT,3460,Ballarat,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
