State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALLAWAH,2218.0,Banks,,
NSW,BEVERLY HILLS,2209.0,Banks,,
NSW,BLAKEHURST,2221.0,Banks,,
NSW,CARLTON,2218.0,Banks,,
NSW,CONNELLS POINT,2221.0,Banks,,
NSW,EAST HILLS,2213.0,Banks,,
NSW,HURSTVILLE,2220.0,Banks,,
NSW,HURSTVILLE GROVE,2220.0,Banks,,
NSW,LUGARNO,2210.0,Banks,,
NSW,MILPERRA,2214.0,Banks,,
NSW,MORTDALE,2223.0,Banks,,
NSW,NARWEE,2209.0,Banks,,
NSW,OATLEY,2223.0,Banks,,
NSW,PADSTOW,2211.0,Banks,,
NSW,PADSTOW HEIGHTS,2211.0,Banks,,
NSW,PANANIA,2213.0,Banks,,
NSW,PEAKHURST,2210.0,Banks,,
NSW,PEAKHURST HEIGHTS,2210.0,Banks,,
NSW,PENSHURST,2222.0,Banks,,
NSW,PICNIC POINT,2213.0,Banks,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,REVESBY,2212.0,Banks,,
NSW,REVESBY HEIGHTS,2212.0,Banks,,
NSW,RIVERWOOD,2210.0,Banks,,
NSW,SOUTH HURSTVILLE,2221.0,Banks,,
12,12,12.0,12,12.0,12.0
1,2,,,,
