State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ALAWOONA,5311,Barker,,
SA,ALLENDALE EAST,5291,Barker,,
SA,ALLENDALE NORTH,5373,Barker,,
SA,ALTONA,5351,Barker,,
SA,ANGAS VALLEY,5238,Barker,,
SA,ANGASTON,5353,Barker,,
SA,ANNADALE,5356,Barker,,
SA,APAMURRA,5237,Barker,,
SA,ASHVILLE,5259,Barker,,
SA,AVENUE RANGE,5273,Barker,,
SA,AVOCA DELL,5253,Barker,,
SA,BAGOT WELL,5373,Barker,,
SA,BAKARA,5354,Barker,,
SA,BAKARA WELL,5354,Barker,,
SA,BANGHAM,5268,Barker,,
SA,BARMERA,5345,Barker,,
SA,BAROSSA GOLDFIELDS,5351,Barker,,
SA,BEACHPORT,5280,Barker,,
SA,BEATTY,5320,Barker,,
SA,BEAUMONTS,5320,Barker,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
