State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ARNCLIFFE,2205.0,Barton,,
NSW,BANKSIA,2216.0,Barton,,
NSW,BARDWELL PARK,2207.0,Barton,,
NSW,BARDWELL VALLEY,2207.0,Barton,,
NSW,BELMORE,2192.0,Barton,,
NSW,BEVERLY HILLS,2209.0,Barton,,
NSW,BEXLEY,2207.0,Barton,,
NSW,BEXLEY NORTH,2207.0,Barton,,
NSW,BRIGHTON-LE-SANDS,2216.0,Barton,,
NSW,CAMPSIE,2194.0,Barton,,
NSW,CANTERBURY,2193.0,Barton,,
NSW,CARLTON,2218.0,Barton,,
NSW,CLEMTON PARK,2206.0,Barton,,
NSW,DULWICH HILL,2203.0,Barton,,
NSW,EARLWOOD,2206.0,Barton,,
NSW,HURLSTONE PARK,2193.0,Barton,,
NSW,HURSTVILLE,2220.0,Barton,,
NSW,KINGSGROVE,2208.0,Barton,,
NSW,KOGARAH,2217.0,Barton,,
NSW,KYEEMAGH,2216.0,Barton,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,MARRICKVILLE,2204.0,Barton,,
NSW,PENSHURST,2222.0,Barton,,
NSW,ROCKDALE,2216.0,Barton,,
NSW,TEMPE,2044.0,Barton,,
NSW,TURRELLA,2205.0,Barton,,
NSW,UNDERCLIFFE,2206.0,Barton,,EARLWOOD
NSW,WOLLI CREEK,2205.0,Barton,,
12,12,12.0,12,12.0,12
1,2,,,,
