State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ALANVALE,7248,Bass,,NEWNHAM
TAS,ALBERTON,7263,Bass,,
TAS,BADGER CORNER,7255,Bass,,LADY BARRON
TAS,BADGER HEAD,7270,Bass,,
TAS,BANCA,7265,Bass,,
TAS,BANGOR,7267,Bass,,
TAS,BEACONSFIELD,7270,Bass,,
TAS,BEAUTY POINT,7270,Bass,,
TAS,BEECHFORD,7252,Bass,,
TAS,BELL BAY,7253,Bass,,
TAS,BELLINGHAM,7254,Bass,,
TAS,BIG GREEN ISLAND,7255,Bass,,
TAS,BIRRALEE,7303,Bass,,
TAS,BLACKWALL,7275,Bass,,
TAS,BLESSINGTON,7212,Bass,,
TAS,BLUE ROCKS,7255,Bass,,
TAS,BLUMONT,7260,Bass,,
TAS,BOOBYALLA,7264,Bass,,
TAS,BRANXHOLM,7261,Bass,,
TAS,BRIDGENORTH,7277,Bass,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
