State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
ACT,BANKS,2906,Bean,,
ACT,BELCONNEN DISTRICT,2617,Bean,,
ACT,BONYTHON,2905,Bean,,
ACT,BOOTH DISTRICT,2620,Bean,,
ACT,CALWELL,2905,Bean,,
ACT,CHAPMAN,2611,Bean,,
ACT,CHIFLEY,2606,Bean,,
ACT,CHISHOLM,2905,Bean,,
ACT,CONDER,2906,Bean,,
ACT,COOMBS,2611,Bean,,
ACT,COREE DISTRICT,2611,Bean,,
ACT,CORIN DAM,2620,Bean,,
ACT,COTTER DAM,2611,Bean,,
ACT,COTTER RIVER DISTRICT,2611,Bean,,
ACT,DENMAN PROSPECT,2611,Bean,,
ACT,DUFFY,2611,Bean,,
ACT,FADDEN,2904,Bean,,
ACT,FARRER,2607,Bean,,
ACT,FISHER,2611,Bean,,
ACT,GILMORE,2905,Bean,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
ACT,GORDON,2906,Bean,,
ACT,GOWRIE,2904,Bean,,
ACT,GREENWAY,2900,Bean,,
ACT,HMAS HARMAN,2600,Bean,,
ACT,HOLDER,2611,Bean,,
ACT,HUME,2620,Bean,,
ACT,ISAACS,2607,Bean,,
ACT,ISABELLA PLAINS,2905,Bean,,
ACT,JERRABOMBERRA DISTRICT,2609,Bean,,
ACT,KAMBAH,2902,Bean,,
ACT,MACARTHUR,2904,Bean,,
ACT,MAWSON,2607,Bean,,
ACT,MOLONGLO VALLEY DISTRICT,2611,Bean,,
ACT,MONASH,2904,Bean,,
ACT,MOUNT STROMLO,2611,Bean,,
ACT,NORFOLK ISLAND,2899,Bean,,
ACT,O'MALLEY,2606,Bean,,
ACT,OXLEY,2903,Bean,,
ACT,PADDYS RIVER DISTRICT,2620,Bean,,
ACT,PEARCE,2607,Bean,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
ACT,PHILLIP,2606,Bean,,
ACT,PIERCES CREEK,2611,Bean,,
ACT,RENDEZVOUS CREEK DISTRICT,2620,Bean,,
ACT,RICHARDSON,2905,Bean,,
ACT,RIVETT,2611,Bean,,
ACT,ROYALLA,2620,Bean,,
ACT,STIRLING,2611,Bean,,
ACT,STROMLO,2611,Bean,,
ACT,STROMLO DISTRICT,2611,Bean,,
ACT,SWINGER HILL,2606,Bean,,PHILLIP
ACT,SYMONSTON,2609,Bean,,
ACT,TENNENT DISTRICT,2620,Bean,,
ACT,THARWA,2620,Bean,,
ACT,THEODORE,2905,Bean,,
ACT,TORRENS,2607,Bean,,
ACT,TUGGERANONG DISTRICT,2620,Bean,,
ACT,URIARRA,2611,Bean,,
ACT,WANNIASSA,2903,Bean,,
ACT,WARAMANGA,2611,Bean,,
ACT,WESTON,2611,Bean,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
ACT,WESTON CREEK DISTRICT,2611,Bean,,
ACT,WILLIAMSDALE,2620,Bean,,
ACT,WRIGHT,2611,Bean,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
