State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ARGYLE,3523,Bendigo,,
VIC,ASCOT,3551,Bendigo,,
VIC,ASHBOURNE,3442,Bendigo,,
VIC,AVONMORE,3559,Bendigo,,
VIC,AXE CREEK,3551,Bendigo,,
VIC,AXEDALE,3551,Bendigo,,
VIC,BAGSHOT,3551,Bendigo,,
VIC,BAGSHOT NORTH,3551,Bendigo,,
VIC,BARFOLD,3444,Bendigo,,
VIC,BARINGHUP,3463,Bendigo,,
VIC,BARINGHUP WEST,3463,Bendigo,,
VIC,BARKERS CREEK,3451,Bendigo,,
VIC,BARNADOWN,3557,Bendigo,,
VIC,BAYNTON,3444,Bendigo,,
VIC,BAYNTON EAST,3444,Bendigo,,
VIC,BENDIGO,3550,Bendigo,,
VIC,BENLOCH,3435,Bendigo,,
VIC,BIG HILL,3555,Bendigo,,
VIC,BRADFORD,3463,Bendigo,,
VIC,CADELLO,3442,Bendigo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
