State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,BEECROFT,2119.0,Bennelong,,
NSW,BORONIA PARK,2111.0,Bennelong,,GLADESVILLE
NSW,CARLINGFORD,2118.0,Bennelong,,
NSW,CHATSWOOD WEST,2067.0,Bennelong,,
NSW,DENISTONE,2114.0,Bennelong,,
NSW,DENISTONE EAST,2112.0,Bennelong,,
NSW,DENISTONE WEST,2114.0,Bennelong,,
NSW,DUNDAS,2117.0,Bennelong,,
NSW,EAST RYDE,2113.0,Bennelong,,
NSW,EASTWOOD,2122.0,Bennelong,,
NSW,EPPING,2121.0,Bennelong,,
NSW,ERMINGTON,2115.0,Bennelong,,
NSW,GLADESVILLE,2111.0,Bennelong,,
NSW,MACQUARIE PARK,2113.0,Bennelong,,
NSW,MARSFIELD,2122.0,Bennelong,,
NSW,MEADOWBANK,2114.0,Bennelong,,
NSW,MELROSE PARK,2114.0,Bennelong,,
NSW,MONASH PARK,2111.0,Bennelong,,GLADESVILLE
NSW,NORTH EPPING,2121.0,Bennelong,,
NSW,NORTH RYDE,2113.0,Bennelong,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,PUTNEY,2112.0,Bennelong,,
NSW,RYDE,2112.0,Bennelong,,
NSW,TENNYSON POINT,2111.0,Bennelong,,
NSW,WEST RYDE,2114.0,Bennelong,,
12,12,12.0,12,12.0,12.0
1,2,,,,
