State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,AMBERLEY,4306,Blair,,
QLD,ASHWELL,4340,Blair,,
QLD,ATKINSONS DAM,4311,Blair,,
QLD,AVOCA VALE,4314,Blair,,
QLD,BANKS CREEK,4306,Blair,,
QLD,BARELLAN POINT,4306,Blair,,
QLD,BASIN POCKET,4305,Blair,,
QLD,BERGINS HILL,4304,Blair,,BUNDAMBA
QLD,BIARRA,4313,Blair,,
QLD,BLACKSOIL,4306,Blair,,
QLD,BLACKSTONE,4304,Blair,,
QLD,BOOVAL,4304,Blair,,
QLD,BORALLON,4306,Blair,,
QLD,BRAEMORE,4313,Blair,,
QLD,BRASSALL,4305,Blair,,
QLD,BRIGHTVIEW,4311,Blair,,
QLD,BRYDEN,4312,Blair,,
QLD,BUARABA,4311,Blair,,
QLD,BUNDAMBA,4304,Blair,,
QLD,CABOONBAH,4312,Blair,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
