State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AUBURN,2144.0,Blaxland,,
NSW,BANKSTOWN,2200.0,Blaxland,,
NSW,BANKSTOWN AERODROME,2200.0,Blaxland,,
NSW,BASS HILL,2197.0,Blaxland,,
NSW,BERALA,2141.0,Blaxland,,
NSW,BIRRONG,2143.0,Blaxland,,
NSW,CHESTER HILL,2162.0,Blaxland,,
NSW,CONDELL PARK,2200.0,Blaxland,,
NSW,GEORGES HALL,2198.0,Blaxland,,
NSW,GUILDFORD,2161.0,Blaxland,,
NSW,LANSDOWNE,2163.0,Blaxland,,
NSW,LIDCOMBE,2141.0,Blaxland,,
NSW,MILPERRA,2214.0,Blaxland,,
NSW,PADSTOW,2211.0,Blaxland,,
NSW,POTTS HILL,2143.0,Blaxland,,
NSW,REGENTS PARK,2143.0,Blaxland,,
NSW,REVESBY,2212.0,Blaxland,,
NSW,SEFTON,2162.0,Blaxland,,
NSW,SOUTH GRANVILLE,2142.0,Blaxland,,
NSW,VILLAWOOD,2163.0,Blaxland,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,YAGOONA,2199.0,Blaxland,,
12,12,12.0,12,12.0,12.0
1,2,,,,
