State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALEXANDRA HILLS,4161.0,Bowman,,
QLD,AMITY,4183.0,Bowman,,
QLD,BIRKDALE,4159.0,Bowman,,
QLD,CAPALABA,4157.0,Bowman,,
QLD,CLEVELAND,4163.0,Bowman,,
QLD,COOCHIEMUDLO ISLAND,4184.0,Bowman,,
QLD,DUNWICH,4183.0,Bowman,,
QLD,KARRAGARRA ISLAND,4184.0,Bowman,,
QLD,LAMB ISLAND,4184.0,Bowman,,
QLD,MACLEAY ISLAND,4184.0,Bowman,,
QLD,MOUNT COTTON,4165.0,Bowman,,
QLD,ORMISTON,4160.0,Bowman,,
QLD,PERULPA ISLAND,4184.0,Bowman,,
QLD,POINT HALLORAN,4165.0,Bowman,,VICTORIA POINT
QLD,POINT LOOKOUT,4183.0,Bowman,,
QLD,POINT TALBURPIN,4165.0,Bowman,,REDLAND BAY
QLD,RABY BAY,4163.0,Bowman,,CLEVELAND
QLD,REDLAND BAY,4165.0,Bowman,,
QLD,RUSSELL ISLAND,4184.0,Bowman,,
QLD,SHELDON,4157.0,Bowman,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,THORNESIDE,4158.0,Bowman,,
QLD,THORNLANDS,4164.0,Bowman,,
QLD,VICTORIA POINT,4165.0,Bowman,,
QLD,WELLINGTON POINT,4160.0,Bowman,,
12,12,12.0,12,12.0,12.0
1,2,,,,
