State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ABBOTSHAM,7315,Braddon,,
TAS,ABERDEEN,7310,Braddon,,
TAS,ACTON,7320,Braddon,,
TAS,ALCOMIE,7330,Braddon,,
TAS,AMBLESIDE,7310,Braddon,,
TAS,ARTHUR RIVER,7330,Braddon,,
TAS,BAKERS BEACH,7307,Braddon,,
TAS,BLACK RIVER,7321,Braddon,,
TAS,BOAT HARBOUR,7321,Braddon,,
TAS,BOAT HARBOUR BEACH,7321,Braddon,,
TAS,BRITTONS SWAMP,7330,Braddon,,
TAS,BROADMEADOWS,7330,Braddon,,
TAS,BROOKLYN,7320,Braddon,,
TAS,BUNGAREE,7256,Braddon,,
TAS,BURNIE,7320,Braddon,,
TAS,CALDER,7325,Braddon,,
TAS,CAMDALE,7320,Braddon,,
TAS,CAMENA,7316,Braddon,,
TAS,CASTRA,7315,Braddon,,
TAS,CHASM CREEK,7321,Braddon,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
