State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ASQUITH,2077.0,Bradfield,,
NSW,CASTLE COVE,2069.0,Bradfield,,
NSW,CHATSWOOD,2067.0,Bradfield,,
NSW,CHATSWOOD WEST,2067.0,Bradfield,,
NSW,EAST KILLARA,2071.0,Bradfield,,
NSW,EAST LINDFIELD,2070.0,Bradfield,,
NSW,GORDON,2072.0,Bradfield,,
NSW,HORNSBY,2077.0,Bradfield,,
NSW,KILLARA,2071.0,Bradfield,,
NSW,LINDFIELD,2070.0,Bradfield,,
NSW,MOUNT COLAH,2079.0,Bradfield,,
NSW,NORMANHURST,2076.0,Bradfield,,
NSW,NORTH TURRAMURRA,2074.0,Bradfield,,
NSW,NORTH WAHROONGA,2076.0,Bradfield,,
NSW,PYMBLE,2073.0,Bradfield,,
NSW,ROSEVILLE,2069.0,Bradfield,,
NSW,ROSEVILLE CHASE,2069.0,Bradfield,,
NSW,SOUTH TURRAMURRA,2074.0,Bradfield,,
NSW,ST IVES,2075.0,Bradfield,,
NSW,ST IVES CHASE,2075.0,Bradfield,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,TURRAMURRA,2074.0,Bradfield,,
NSW,WAHROONGA,2076.0,Bradfield,,
NSW,WAITARA,2077.0,Bradfield,,
NSW,WARRAWEE,2074.0,Bradfield,,
NSW,WEST PYMBLE,2073.0,Bradfield,,
12,12,12.0,12,12.0,12.0
1,2,,,,
