State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALBION,4010,Brisbane,,
QLD,ALDERLEY,4051,Brisbane,,
QLD,ASCOT,4007,Brisbane,,
QLD,ASHGROVE,4060,Brisbane,,
QLD,AUCHENFLOWER,4066,Brisbane,,
QLD,BARDON,4065,Brisbane,,
QLD,BOWEN HILLS,4006,Brisbane,,
QLD,BREAKFAST CREEK,4010,Brisbane,,ALBION
QLD,BRISBANE CITY,4000,Brisbane,,
QLD,CLAYFIELD,4011,Brisbane,,
QLD,DORRINGTON,4060,Brisbane,,ASHGROVE
QLD,EAGLE FARM,4009,Brisbane,,
QLD,EAGLE JUNCTION,4011,Brisbane,,CLAYFIELD
QLD,ENOGGERA,4051,Brisbane,,
QLD,EVERTON PARK,4053,Brisbane,,
QLD,FORTITUDE VALLEY,4006,Brisbane,,
QLD,GORDON PARK,4031,Brisbane,,
QLD,GRANGE,4051,Brisbane,,
QLD,HAMILTON,4007,Brisbane,,
QLD,HENDRA,4011,Brisbane,,
123,123,123,123,123.0,123
1,2,3,,,
QLD,HERSTON,4006,Brisbane,,
QLD,KALINGA,4030,Brisbane,,
QLD,KELVIN GROVE,4059,Brisbane,,
QLD,LUTWYCHE,4030,Brisbane,,
QLD,MERTHYR,4005,Brisbane,,NEW FARM
QLD,MILTON,4064,Brisbane,,
QLD,NEW FARM,4005,Brisbane,,
QLD,NEWMARKET,4051,Brisbane,,
QLD,NEWSTEAD,4006,Brisbane,,
QLD,PADDINGTON,4064,Brisbane,,
QLD,PETRIE TERRACE,4000,Brisbane,,
QLD,RAINWORTH,4065,Brisbane,,BARDON
QLD,RED HILL,4059,Brisbane,,
QLD,ROSALIE,4064,Brisbane,,PADDINGTON
QLD,SPRING HILL,4000,Brisbane,,
QLD,ST JOHNS WOOD,4060,Brisbane,,ASHGROVE
QLD,STAFFORD,4053,Brisbane,,
QLD,TENERIFFE,4005,Brisbane,,
QLD,TOOMBUL,4012,Brisbane,,CLAYFIELD
QLD,TORWOOD,4066,Brisbane,,AUCHENFLOWER
123,123,123,123,123.0,123
1,2,3,,,
QLD,WHINSTANES,4007,Brisbane,,HAMILTON
QLD,WILSTON,4051,Brisbane,,
QLD,WINDSOR,4030,Brisbane,,
QLD,WOOLOOWIN,4030,Brisbane,,
123,123,123,123,123.0,123
1,2,3,,,
