State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,DANDENONG,3175,Bruce,,
VIC,DANDENONG NORTH,3175,Bruce,,
VIC,DANDENONG WEST,3175,Bruce,,DANDENONG
VIC,DOVETON,3177,Bruce,,
VIC,ENDEAVOUR HILLS,3802,Bruce,,
VIC,EUMEMMERRING,3177,Bruce,,
VIC,FOUNTAIN GATE,3805,Bruce,,NARRE WARREN
VIC,HALLAM,3803,Bruce,,
VIC,HARRISFIELD,3174,Bruce,,NOBLE PARK
VIC,KEYSBOROUGH,3173,Bruce,,
VIC,LYNDALE,3175,Bruce,,DANDENONG NORTH
VIC,LYSTERFIELD SOUTH,3156,Bruce,,
VIC,NARRE WARREN,3805,Bruce,,
VIC,NARRE WARREN NORTH,3804,Bruce,,
VIC,NOBLE PARK,3174,Bruce,,
VIC,NOBLE PARK NORTH,3174,Bruce,,
VIC,NORTH DANDENONG,3175,Bruce,,DANDENONG NORTH
VIC,SPRINGVALE,3171,Bruce,,
VIC,SPRINGVALE SOUTH,3172,Bruce,,
VIC,YARRAMAN,3174,Bruce,,NOBLE PARK
