State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AARONS PASS,2850,Calare,,
NSW,ABERCROMBIE,2795,Calare,,
NSW,ABERCROMBIE RIVER,2795,Calare,,
NSW,AMAROO,2866,Calare,,
NSW,APPLE TREE FLAT,2850,Calare,,
NSW,APSLEY,2820,Calare,,
NSW,ARKELL,2795,Calare,,
NSW,ARKSTONE,2795,Calare,,
NSW,ARTHURVILLE,2820,Calare,,
NSW,AVISFORD,2850,Calare,,
NSW,BAKERS SWAMP,2820,Calare,,
NSW,BALD RIDGE,2795,Calare,,
NSW,BALDRY,2867,Calare,,
NSW,BALLIMORE,2830,Calare,,
NSW,BALLYROE,2795,Calare,,
NSW,BARA,2850,Calare,,
NSW,BARIGAN,2850,Calare,,
NSW,BARNEYS REEF,2852,Calare,,
NSW,BARRY,2799,Calare,,
NSW,BATHAMPTON,2795,Calare,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
