State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ADELAIDE PARK,4703,Capricornia,,
QLD,ALEXANDRA,4740,Capricornia,,
QLD,ALLENSTOWN,4700,Capricornia,,
QLD,ALLIGATOR CREEK,4740,Capricornia,,
QLD,ARMSTRONG BEACH,4737,Capricornia,,
QLD,BAKERS CREEK,4740,Capricornia,,
QLD,BALBERRA,4740,Capricornia,,
QLD,BANGALEE,4703,Capricornia,,
QLD,BARLOWS HILL,4703,Capricornia,,
QLD,BARMARYEE,4703,Capricornia,,
QLD,BARMOYA,4703,Capricornia,,
QLD,BELYANDO,4721,Capricornia,,
QLD,BENHOLME,4754,Capricornia,,
QLD,BERSERKER,4701,Capricornia,,
QLD,BLUE MOUNTAIN,4737,Capricornia,,
QLD,BOGIE,4805,Capricornia,,
QLD,BONDOOLA,4703,Capricornia,,
QLD,BRIGHTLY,4741,Capricornia,,
QLD,BROKEN RIVER,4757,Capricornia,,
QLD,BUNGUNDARRA,4703,Capricornia,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
