State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BADGER CREEK,3777,Casey,,
VIC,BEENAK,3139,Casey,,
VIC,BELGRAVE,3160,Casey,,
VIC,BELGRAVE HEIGHTS,3160,Casey,,
VIC,BELGRAVE SOUTH,3160,Casey,,
VIC,BIG PATS CREEK,3799,Casey,,
VIC,CHIRNSIDE PARK,3116,Casey,,
VIC,CHUM CREEK,3777,Casey,,
VIC,CLEMATIS,3782,Casey,,
VIC,COLDSTREAM,3770,Casey,,
VIC,DIXONS CREEK,3775,Casey,,
VIC,DON VALLEY,3139,Casey,,
VIC,EAST SEVILLE,3139,Casey,,SEVILLE EAST
VIC,EAST WANDIN,3139,Casey,,WANDIN EAST
VIC,EAST WARBURTON,3799,Casey,,
VIC,EMERALD,3782,Casey,,
VIC,FERNY CREEK,3786,Casey,,
VIC,GILDEROY,3797,Casey,,
VIC,GLADYSDALE,3797,Casey,,
VIC,GRUYERE,3770,Casey,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
VIC,HEALESVILLE,3777,Casey,,
VIC,HODDLES CREEK,3139,Casey,,
VIC,KALLISTA,3791,Casey,,
VIC,KALORAMA,3766,Casey,,
VIC,KILSYTH,3137,Casey,,
VIC,LAUNCHING PLACE,3139,Casey,,
VIC,LILYDALE,3140,Casey,,
VIC,LYSTERFIELD,3156,Casey,,
VIC,MACCLESFIELD,3782,Casey,,
VIC,MATLOCK,3723,Casey,,
VIC,MCMAHONS CREEK,3799,Casey,,
VIC,MENZIES CREEK,3159,Casey,,
VIC,MILLGROVE,3799,Casey,,
VIC,MONBULK,3793,Casey,,
VIC,MONTROSE,3765,Casey,,
VIC,MOOROOLBARK,3138,Casey,,
VIC,MOUNT DANDENONG,3767,Casey,,
VIC,MOUNT EVELYN,3796,Casey,,
VIC,MOUNT TOOLEBEWONG,3777,Casey,,
VIC,MT DANDENONG,3767,Casey,,MOUNT DANDENONG
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
VIC,MT EVELYN,3796,Casey,,MOUNT EVELYN
VIC,NARRE WARREN EAST,3804,Casey,,
VIC,NORTH WANDIN,3139,Casey,,WANDIN NORTH
VIC,OLINDA,3788,Casey,,
VIC,POWELLTOWN,3797,Casey,,
VIC,REEFTON,3799,Casey,,
VIC,SASSAFRAS,3787,Casey,,
VIC,SELBY,3159,Casey,,
VIC,SEVILLE,3139,Casey,,
VIC,SEVILLE EAST,3139,Casey,,
VIC,SHERBROOKE,3789,Casey,,
VIC,SILVAN,3795,Casey,,
VIC,STEELS CREEK,3775,Casey,,
VIC,TARRAWARRA,3775,Casey,,
VIC,TECOMA,3160,Casey,,
VIC,THE PATCH,3792,Casey,,
VIC,THREE BRIDGES,3797,Casey,,
VIC,TOOLANGI,3777,Casey,,
VIC,TREMONT,3785,Casey,,
VIC,UPPER FERNTREE GULLY,3156,Casey,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
VIC,UPWEY,3158,Casey,,
VIC,WANDIN EAST,3139,Casey,,
VIC,WANDIN NORTH,3139,Casey,,
VIC,WARBURTON,3799,Casey,,
VIC,WARBURTON EAST,3799,Casey,,EAST WARBURTON
VIC,WESBURN,3799,Casey,,
VIC,WONGA PARK,3115,Casey,,
VIC,WOORI YALLOCK,3139,Casey,,
VIC,YARRA GLEN,3775,Casey,,
VIC,YARRA JUNCTION,3797,Casey,,
VIC,YELLINGBO,3139,Casey,,
VIC,YERING,3770,Casey,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
