State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,BEVERLEY PARK,2217.0,Cook,,
NSW,BLAKEHURST,2221.0,Cook,,
NSW,BURRANEER,2230.0,Cook,,
NSW,CARINGBAH,2229.0,Cook,,
NSW,CARINGBAH SOUTH,2229.0,Cook,,
NSW,CARSS PARK,2221.0,Cook,,
NSW,CONNELLS POINT,2221.0,Cook,,
NSW,CRONULLA,2230.0,Cook,,
NSW,DOLANS BAY,2229.0,Cook,,
NSW,DOLLS POINT,2219.0,Cook,,
NSW,GREENHILLS BEACH,2230.0,Cook,,
NSW,GYMEA,2227.0,Cook,,
NSW,GYMEA BAY,2227.0,Cook,,
NSW,KANGAROO POINT,2224.0,Cook,,
NSW,KOGARAH,2217.0,Cook,,
NSW,KOGARAH BAY,2217.0,Cook,,
NSW,KURNELL,2231.0,Cook,,
NSW,KYLE BAY,2221.0,Cook,,
NSW,LILLI PILLI,2229.0,Cook,,
NSW,MIRANDA,2228.0,Cook,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,MONTEREY,2217.0,Cook,,
NSW,PORT HACKING,2229.0,Cook,,
NSW,RAMSGATE,2217.0,Cook,,
NSW,RAMSGATE BEACH,2217.0,Cook,,
NSW,SANDRINGHAM,2219.0,Cook,,
NSW,SANS SOUCI,2219.0,Cook,,
NSW,SYLVANIA,2224.0,Cook,,
NSW,SYLVANIA WATERS,2224.0,Cook,,
NSW,TAREN POINT,2229.0,Cook,,
NSW,WOOLOOWARE,2230.0,Cook,,
NSW,YOWIE BAY,2228.0,Cook,,
12,12,12.0,12,12.0,12.0
1,2,,,,
