State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALPHINGTON,3078.0,Cooper,,
VIC,BELL,3072.0,Cooper,,PRESTON
VIC,BUNDOORA,3083.0,Cooper,,
VIC,CLIFTON HILL,3068.0,Cooper,,
VIC,COBURG,3058.0,Cooper,,
VIC,COBURG NORTH,3058.0,Cooper,,
VIC,CROXTON,3070.0,Cooper,,NORTHCOTE
VIC,CROXTON,3070.0,Cooper,,THORNBURY
VIC,DENNIS,3070.0,Cooper,,FAIRFIELD
VIC,DENNIS,3070.0,Cooper,,NORTHCOTE
VIC,FAIRFIELD,3078.0,Cooper,,
VIC,KEON PARK,3073.0,Cooper,,RESERVOIR
VIC,KINGSBURY,3083.0,Cooper,,
VIC,MACLEOD,3085.0,Cooper,,
VIC,MERLYNSTON,3058.0,Cooper,,COBURG
VIC,MERRI,3068.0,Cooper,,NORTHCOTE
VIC,MORELAND,3058.0,Cooper,,COBURG
VIC,NORTHCOTE,3070.0,Cooper,,
VIC,PRESTON,3072.0,Cooper,,
VIC,PRESTON SOUTH,3072.0,Cooper,,PRESTON
12,12,12.0,12,12.0,12
1,2,,,,
VIC,PRESTON WEST,3072.0,Cooper,,PRESTON
VIC,REGENT,3073.0,Cooper,,PRESTON
VIC,REGENT,3073.0,Cooper,,RESERVOIR
VIC,RESERVOIR,3073.0,Cooper,,
VIC,THORNBURY,3071.0,Cooper,,
VIC,UNIVERSITY HILL,3083.0,Cooper,,BUNDOORA
VIC,WESTGARTH,3070.0,Cooper,,NORTHCOTE
12,12,12.0,12,12.0,12
1,2,,,,
