State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,AIREYS INLET,3231,Corangamite,,
VIC,ANAKIE,3213,Corangamite,,
VIC,ANGLESEA,3230,Corangamite,,
VIC,APOLLO BAY,3233,Corangamite,,
VIC,ARMSTRONG CREEK,3217,Corangamite,,
VIC,BAMBRA,3241,Corangamite,,
VIC,BAMGANIE,3333,Corangamite,,
VIC,BANNOCKBURN,3331,Corangamite,,
VIC,BARRABOOL,3221,Corangamite,,
VIC,BARRAMUNGA,3249,Corangamite,,
VIC,BARUNAH PARK,3329,Corangamite,,
VIC,BARUNAH PLAINS,3329,Corangamite,,
VIC,BARWON DOWNS,3243,Corangamite,,
VIC,BARWON HEADS,3227,Corangamite,,
VIC,BATESFORD,3213,Corangamite,,
VIC,BEECH FOREST,3237,Corangamite,,
VIC,BELLARINE,3223,Corangamite,,
VIC,BELLBRAE,3228,Corangamite,,
VIC,BELLS BEACH,3228,Corangamite,,
VIC,BENWERRIN,3235,Corangamite,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
