State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ANAKIE,3213.0,Corio,,
VIC,AVALON,3212.0,Corio,,
VIC,BALLIANG,3340.0,Corio,,
VIC,BATESFORD,3213.0,Corio,,
VIC,BELL PARK,3215.0,Corio,,
VIC,BELL POST HILL,3215.0,Corio,,
VIC,BELMONT,3216.0,Corio,,
VIC,BREAKWATER,3219.0,Corio,,
VIC,CORIO,3214.0,Corio,,
VIC,DRUMCONDRA,3215.0,Corio,,
VIC,EAST GEELONG,3219.0,Corio,,
VIC,FYANSFORD,3218.0,Corio,,
VIC,GEELONG,3220.0,Corio,,
VIC,GEELONG EAST,3219.0,Corio,,EAST GEELONG
VIC,GEELONG SOUTH,3220.0,Corio,,SOUTH GEELONG
VIC,GEELONG WEST,3218.0,Corio,,
VIC,HAMLYN HEIGHTS,3215.0,Corio,,
VIC,HERNE HILL,3218.0,Corio,,
VIC,HIGHTON,3216.0,Corio,,
VIC,LARA,3212.0,Corio,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,LITTLE RIVER,3211.0,Corio,,
VIC,LOVELY BANKS,3213.0,Corio,,
VIC,MANIFOLD HEIGHTS,3218.0,Corio,,
VIC,MOORABOOL,3213.0,Corio,,
VIC,NEWCOMB,3219.0,Corio,,
VIC,NEWTOWN,3220.0,Corio,,
VIC,NORLANE,3214.0,Corio,,
VIC,NORLANE WEST,3214.0,Corio,,NORLANE
VIC,NORTH GEELONG,3215.0,Corio,,
VIC,NORTH SHORE,3214.0,Corio,,
VIC,RIPPLESIDE,3215.0,Corio,,
VIC,SOUTH GEELONG,3220.0,Corio,,
VIC,ST ALBANS PARK,3219.0,Corio,,
VIC,STAUGHTON VALE,3340.0,Corio,,
VIC,THOMSON,3219.0,Corio,,
VIC,WANDANA HEIGHTS,3216.0,Corio,,
VIC,WEST GEELONG,3218.0,Corio,,GEELONG WEST
VIC,WHITTINGTON,3219.0,Corio,,
12,12,12.0,12,12.0,12
1,2,,,,
