State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALDAVILLA,2440,Cowper,,
NSW,ALLGOMERA,2441,Cowper,,
NSW,ARAKOON,2431,Cowper,,
NSW,ARGENTS HILL,2449,Cowper,,
NSW,AUSTRAL EDEN,2440,Cowper,,
NSW,BAKERS CREEK,2447,Cowper,,
NSW,BARRAGANYATTI,2441,Cowper,,
NSW,BAYLDON,2452,Cowper,,BOAMBEE EAST
NSW,BAYLDON,2452,Cowper,,TOORMINA
NSW,BELLBROOK,2440,Cowper,,
NSW,BELLIMBOPINNI,2440,Cowper,,
NSW,BELLINGEN,2454,Cowper,,
NSW,BELMORE RIVER,2440,Cowper,,
NSW,BIELSDOWN HILLS,2453,Cowper,,
NSW,BLACKMANS POINT,2444,Cowper,,
NSW,BOAMBEE,2450,Cowper,,
NSW,BOAMBEE EAST,2452,Cowper,,
NSW,BONVILLE,2450,Cowper,,
NSW,BOSTOBRICK,2453,Cowper,,
NSW,BOWRAVILLE,2449,Cowper,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
