State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AUDLEY,2232,Cunningham,,ROYAL NATIONAL PARK
NSW,AUSTINMER,2515,Cunningham,,
NSW,BALGOWNIE,2519,Cunningham,,
NSW,BELLAMBI,2518,Cunningham,,
NSW,BULLI,2516,Cunningham,,
NSW,BULLI TOPS,2516,Cunningham,,BULLI
NSW,CLIFTON,2515,Cunningham,,
NSW,COACHWOOD PARK,2526,Cunningham,,UNANDERRA
NSW,COALCLIFF,2508,Cunningham,,
NSW,COLEDALE,2515,Cunningham,,
NSW,CONISTON,2500,Cunningham,,
NSW,CORDEAUX HEIGHTS,2526,Cunningham,,
NSW,CORRIMAL,2518,Cunningham,,
NSW,DARKES FOREST,2508,Cunningham,,
NSW,DEER PARK,2232,Cunningham,,ROYAL NATIONAL PARK
NSW,EAST CORRIMAL,2518,Cunningham,,
NSW,FAIRY MEADOW,2519,Cunningham,,
NSW,FARMBOROUGH CHASE,2526,Cunningham,,UNANDERRA
NSW,FARMBOROUGH HEIGHTS,2526,Cunningham,,
NSW,FERNHILL,2519,Cunningham,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,FIGTREE,2525,Cunningham,,
NSW,GWYNNEVILLE,2500,Cunningham,,
NSW,HELENSBURGH,2508,Cunningham,,
NSW,KEIRAVILLE,2500,Cunningham,,
NSW,KEMBLA HEIGHTS,2526,Cunningham,,
NSW,KEMBLAWARRA,2505,Cunningham,,PORT KEMBLA
NSW,LAKE HEIGHTS,2502,Cunningham,,
NSW,LILYVALE,2508,Cunningham,,
NSW,MADDENS PLAINS,2508,Cunningham,,
NSW,MANGERTON,2500,Cunningham,,
NSW,MOUNT KEIRA,2500,Cunningham,,
NSW,MOUNT KEMBLA,2526,Cunningham,,
NSW,MOUNT OUSLEY,2519,Cunningham,,
NSW,MOUNT PLEASANT,2519,Cunningham,,
NSW,MOUNT SAINT THOMAS,2500,Cunningham,,
NSW,NORTH WOLLONGONG,2500,Cunningham,,
NSW,OTFORD,2508,Cunningham,,
NSW,PORT KEMBLA,2505,Cunningham,,
NSW,ROYAL NATIONAL PARK,2232,Cunningham,,
NSW,RUSSELL VALE,2517,Cunningham,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,SCARBOROUGH,2515,Cunningham,,
NSW,STANWELL PARK,2508,Cunningham,,
NSW,STANWELL TOPS,2508,Cunningham,,
NSW,TARRAWANNA,2518,Cunningham,,
NSW,THIRROUL,2515,Cunningham,,
NSW,TOWRADGI,2518,Cunningham,,
NSW,UNANDERRA,2526,Cunningham,,
NSW,WARRAWONG,2502,Cunningham,,
NSW,WEST WOLLONGONG,2500,Cunningham,,
NSW,WOLLONGONG,2500,Cunningham,,
NSW,WOMBARRA,2515,Cunningham,,
NSW,WOONONA,2517,Cunningham,,
NSW,WORONORA DAM,2508,Cunningham,,
123,123,123,123,123.0,123.0
1,2,3,,,
