State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,AIRDMILLAN,4807,Dawson,,
QLD,AIRLIE BEACH,4802,Dawson,,
QLD,AIRVILLE,4807,Dawson,,
QLD,ALLIGATOR CREEK,4816,Dawson,,
QLD,ALVA,4807,Dawson,,
QLD,ANDERGROVE,4740,Dawson,,
QLD,ANDROMACHE,4800,Dawson,,
QLD,ANNANDALE,4814,Dawson,,
QLD,AYR,4807,Dawson,,
QLD,BALL BAY,4741,Dawson,,
QLD,BALNAGOWAN,4740,Dawson,,
QLD,BARRATTA,4809,Dawson,,
QLD,BEACONSFIELD,4740,Dawson,,
QLD,BELMUNDA,4740,Dawson,,
QLD,BINBEE,4805,Dawson,,
QLD,BLACKS BEACH,4740,Dawson,,
QLD,BLOOMSBURY,4799,Dawson,,
QLD,BOGIE,4805,Dawson,,
QLD,BOWEN,4805,Dawson,,
QLD,BRAMPTON ISLAND,4741,Dawson,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
