State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BAYSWATER NORTH,3153.0,Deakin,,
VIC,CROYDON,3136.0,Deakin,,
VIC,CROYDON HILLS,3136.0,Deakin,,
VIC,CROYDON NORTH,3136.0,Deakin,,
VIC,CROYDON SOUTH,3136.0,Deakin,,
VIC,EAST RINGWOOD,3135.0,Deakin,,RINGWOOD EAST
VIC,FOREST HILL,3131.0,Deakin,,
VIC,HEATHERDALE,3132.0,Deakin,,MITCHAM
VIC,HEATHMONT,3135.0,Deakin,,
VIC,KILSYTH,3137.0,Deakin,,
VIC,KILSYTH SOUTH,3137.0,Deakin,,
VIC,MITCHAM,3132.0,Deakin,,
VIC,MOOROOLBARK,3138.0,Deakin,,
VIC,NORTH BAYSWATER,3153.0,Deakin,,BAYSWATER NORTH
VIC,NORTH CROYDON,3136.0,Deakin,,CROYDON NORTH
VIC,NORTH RINGWOOD,3134.0,Deakin,,RINGWOOD NORTH
VIC,NUNAWADING,3131.0,Deakin,,
VIC,PARK ORCHARDS,3114.0,Deakin,,
VIC,RINGWOOD,3134.0,Deakin,,
VIC,RINGWOOD EAST,3135.0,Deakin,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,RINGWOOD NORTH,3134.0,Deakin,,
VIC,SOUTH CROYDON,3136.0,Deakin,,CROYDON SOUTH
VIC,SOUTH KILSYTH,3137.0,Deakin,,KILSYTH SOUTH
VIC,SOUTH VERMONT,3133.0,Deakin,,VERMONT SOUTH
VIC,VERMONT,3133.0,Deakin,,
VIC,VERMONT SOUTH,3133.0,Deakin,,
12,12,12.0,12,12.0,12
1,2,,,,
