State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALISON,2259,Dobell,,
NSW,BATEAU BAY,2261,Dobell,,
NSW,BERKELEY VALE,2261,Dobell,,
NSW,BLUE BAY,2261,Dobell,,
NSW,BLUE HAVEN,2262,Dobell,,
NSW,BUSHELLS RIDGE,2259,Dobell,,
NSW,CANTON BEACH,2263,Dobell,,
NSW,CEDAR BRUSH CREEK,2259,Dobell,,
NSW,CHARMHAVEN,2263,Dobell,,
NSW,CHITTAWAY BAY,2261,Dobell,,
NSW,CHITTAWAY POINT,2261,Dobell,,
NSW,DOORALONG,2259,Dobell,,
NSW,DOYALSON,2262,Dobell,,
NSW,DURREN DURREN,2259,Dobell,,
NSW,ERINA HEIGHTS,2260,Dobell,,
NSW,FORRESTERS BEACH,2260,Dobell,,
NSW,FOUNTAINDALE,2258,Dobell,,
NSW,GLENNING VALLEY,2261,Dobell,,
NSW,GOROKAN,2263,Dobell,,
NSW,HALLORAN,2259,Dobell,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
NSW,HAMLYN TERRACE,2259,Dobell,,
NSW,HOLGATE,2250,Dobell,,
NSW,JILLIBY,2259,Dobell,,
NSW,KANGY ANGY,2258,Dobell,,
NSW,KANWAL,2259,Dobell,,
NSW,KIAR,2259,Dobell,,
NSW,KILLARNEY VALE,2261,Dobell,,
NSW,KULNURA,2250,Dobell,,
NSW,LAKE HAVEN,2263,Dobell,,
NSW,LEMON TREE,2259,Dobell,,
NSW,LISAROW,2250,Dobell,,
NSW,LITTLE JILLIBY,2259,Dobell,,
NSW,LONG JETTY,2261,Dobell,,
NSW,MAGENTA,2261,Dobell,,
NSW,MARDI,2259,Dobell,,
NSW,MATCHAM,2250,Dobell,,
NSW,MOUNT ELLIOT,2250,Dobell,,
NSW,NARARA,2250,Dobell,,
NSW,NIAGARA PARK,2250,Dobell,,
NSW,NORAH HEAD,2263,Dobell,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
NSW,NORAVILLE,2263,Dobell,,
NSW,OURIMBAH,2258,Dobell,,
NSW,PALM GROVE,2258,Dobell,,
NSW,PALMDALE,2258,Dobell,,
NSW,RAVENSDALE,2259,Dobell,,
NSW,ROCKY POINT,2259,Dobell,,
NSW,SHELLY BEACH,2261,Dobell,,
NSW,TACOMA,2259,Dobell,,
NSW,TACOMA SOUTH,2259,Dobell,,
NSW,THE ENTRANCE,2261,Dobell,,
NSW,THE ENTRANCE NORTH,2261,Dobell,,
NSW,TOOWOON BAY,2261,Dobell,,
NSW,TOUKLEY,2263,Dobell,,
NSW,TUGGERAH,2259,Dobell,,
NSW,TUGGERAWONG,2259,Dobell,,
NSW,TUMBI UMBI,2261,Dobell,,
NSW,WADALBA,2259,Dobell,,
NSW,WALLARAH,2259,Dobell,,
NSW,WAMBERAL,2260,Dobell,,
NSW,WARNERVALE,2259,Dobell,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
NSW,WATANOBBI,2259,Dobell,,
NSW,WOONGARRAH,2259,Dobell,,
NSW,WYEE,2259,Dobell,,
NSW,WYOMING,2250,Dobell,,
NSW,WYONG,2259,Dobell,,
NSW,WYONG CREEK,2259,Dobell,,
NSW,WYONGAH,2259,Dobell,,
NSW,YARRAMALONG,2259,Dobell,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
