State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,AJANA,6532,Durack,,
WA,ALLANOOKA,6525,Durack,,
WA,ALMA,6535,Durack,,
WA,AMBANIA,6632,Durack,,
WA,ANGELO RIVER,6642,Durack,,
WA,ARDATH,6419,Durack,,
WA,ARRINO,6519,Durack,,
WA,ARROWSMITH,6525,Durack,,
WA,ARROWSMITH EAST,6519,Durack,,
WA,BAANDEE,6412,Durack,,
WA,BABAKIN,6428,Durack,,
WA,BABBAGE ISLAND,6701,Durack,,
WA,BADGERIN ROCK,6475,Durack,,
WA,BADGINGARRA,6521,Durack,,
WA,BADJALING,6383,Durack,,
WA,BALKULING,6383,Durack,,
WA,BALLA BALLA,6714,Durack,,
WA,BALLIDU,6606,Durack,,
WA,BARBALIN,6479,Durack,,
WA,BARBERTON,6510,Durack,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
