State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ADAMINABY,2629,Eden-Monaro,,
NSW,ADELONG,2729,Eden-Monaro,,
NSW,AKOLELE,2546,Eden-Monaro,,
NSW,ANDO,2631,Eden-Monaro,,
NSW,ANEMBO,2621,Eden-Monaro,,
NSW,ANGLEDALE,2550,Eden-Monaro,,
NSW,ANGLERS REACH,2629,Eden-Monaro,,
NSW,ARABLE,2630,Eden-Monaro,,
NSW,ARALUEN,2622,Eden-Monaro,,
NSW,ARGALONG,2720,Eden-Monaro,,
NSW,AVONSIDE,2628,Eden-Monaro,,
NSW,BACK CREEK,2622,Eden-Monaro,,
NSW,BADJA,2630,Eden-Monaro,,
NSW,BALD HILLS,2549,Eden-Monaro,,
NSW,BALLALABA,2622,Eden-Monaro,,
NSW,BANGADANG,2729,Eden-Monaro,,
NSW,BANGO,2582,Eden-Monaro,,
NSW,BARRAGGA BAY,2546,Eden-Monaro,,
NSW,BATLOW,2730,Eden-Monaro,,
NSW,BEAUTY POINT,2546,Eden-Monaro,,WALLAGA LAKE
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
