State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALBURY,2640,Farrer,,
NSW,ALMA PARK,2659,Farrer,,
NSW,ANABRANCH NORTH,2648,Farrer,,
NSW,ANABRANCH SOUTH,2648,Farrer,,
NSW,ARATULA,2714,Farrer,,
NSW,ARDLETHAN,2665,Farrer,,
NSW,ARGOON,2707,Farrer,,
NSW,ARUMPO,2715,Farrer,,
NSW,BALLDALE,2646,Farrer,,
NSW,BALLINGAL,2680,Farrer,,GRIFFITH
NSW,BALRANALD,2715,Farrer,,
NSW,BARELLAN,2665,Farrer,,
NSW,BARHAM,2732,Farrer,,
NSW,BAROOGA,3644,Farrer,,
NSW,BARRATTA,2710,Farrer,,
NSW,BEELBANGERA,2680,Farrer,,
NSW,BENEREMBAH,2680,Farrer,,
NSW,BERRIGAN,2712,Farrer,,
NSW,BILBUL,2680,Farrer,,
NSW,BINYA,2665,Farrer,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
