State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ABBEYWOOD,4613,Flynn,,
QLD,ABBOTSFORD,4670,Flynn,,
QLD,ABERCORN,4627,Flynn,,
QLD,AGNES WATER,4677,Flynn,,
QLD,ALBERTA,4702,Flynn,,
QLD,ALBINIA,4722,Flynn,,
QLD,ALDOGA,4694,Flynn,,
QLD,ALSACE,4702,Flynn,,
QLD,ALTON DOWNS,4702,Flynn,,
QLD,AMBROSE,4695,Flynn,,
QLD,ANAKIE SIDING,4702,Flynn,,
QLD,ARANBANGA,4625,Flynn,,
QLD,ARCADIA VALLEY,4454,Flynn,,
QLD,ARCTURUS,4722,Flynn,,
QLD,ARGYLL,4721,Flynn,,
QLD,AVONDALE,4670,Flynn,,
QLD,BAFFLE CREEK,4674,Flynn,,
QLD,BAJOOL,4699,Flynn,,
QLD,BALCOMBA,4702,Flynn,,
QLD,BALLOGIE,4610,Flynn,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
