State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,BAHRS SCRUB,4207,Forde,,
QLD,BANNOCKBURN,4207,Forde,,
QLD,BEENLEIGH,4207,Forde,,
QLD,BELIVAH,4207,Forde,,
QLD,BETHANIA,4205,Forde,,
QLD,BORONIA HEIGHTS,4124,Forde,,
QLD,BUCCAN,4207,Forde,,
QLD,CARBROOK,4130,Forde,,
QLD,CEDAR CREEK,4207,Forde,,
QLD,CHAMBERS FLAT,4133,Forde,,
QLD,CORNUBIA,4130,Forde,,
QLD,DAISY HILL,4127,Forde,,
QLD,EAGLEBY,4207,Forde,,
QLD,EDENS LANDING,4207,Forde,,
QLD,GREENBANK,4124,Forde,,
QLD,HERITAGE PARK,4118,Forde,,
QLD,HOLMVIEW,4207,Forde,,
QLD,KINGSHOLME,4208,Forde,,
QLD,LOGAN RESERVE,4133,Forde,,
QLD,LOGANHOLME,4129,Forde,,
123,123,123,123,123.0,123.0
1,2,3,,,
QLD,LOGANLEA,4131,Forde,,
QLD,LUSCOMBE,4207,Forde,,
QLD,MAUDSLAND,4210,Forde,,
QLD,MEADOWBROOK,4131,Forde,,
QLD,MOUNT WARREN PARK,4207,Forde,,
QLD,MUNRUBEN,4125,Forde,,
QLD,NORTH MACLEAN,4280,Forde,,
QLD,ORMEAU,4208,Forde,,
QLD,ORMEAU HILLS,4208,Forde,,
QLD,PARK RIDGE,4125,Forde,,
QLD,PARK RIDGE SOUTH,4125,Forde,,
QLD,PIMPAMA,4209,Forde,,
QLD,SHAILER PARK,4128,Forde,,
QLD,TANAH MERAH,4128,Forde,,
QLD,UPPER COOMERA,4209,Forde,,
QLD,WATERFORD,4133,Forde,,
QLD,WATERFORD WEST,4133,Forde,,
QLD,WILLOW VALE,4209,Forde,,
QLD,WINDAROO,4207,Forde,,
QLD,WOLFFDENE,4207,Forde,,
123,123,123,123,123.0,123.0
1,2,3,,,
QLD,WONGAWALLAN,4210,Forde,,
QLD,YATALA,4207,Forde,,
123,123,123,123,123.0,123.0
1,2,3,,,
