State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ABBA RIVER,6280,Forrest,,
WA,ABBEY,6280,Forrest,,
WA,ACTON PARK,6280,Forrest,,
WA,ALEXANDRA BRIDGE,6288,Forrest,,
WA,AMBERGATE,6280,Forrest,,
WA,ANNIEBROOK,6280,Forrest,,
WA,ARGYLE,6239,Forrest,,
WA,AUGUSTA,6290,Forrest,,
WA,AUSTRALIND,6233,Forrest,,
WA,BALINGUP,6253,Forrest,,
WA,BARRABUP,6275,Forrest,,
WA,BEELA,6224,Forrest,,
WA,BEELERUP,6239,Forrest,,
WA,BENGER,6223,Forrest,,
WA,BIDDELIA,6260,Forrest,,
WA,BINNINGUP,6233,Forrest,,
WA,BOALLIA,6280,Forrest,,
WA,BORANUP,6286,Forrest,,
WA,BOVELL,6280,Forrest,,
WA,BOYANUP,6237,Forrest,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
