State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ABBOTSBURY,2176.0,Fowler,,
NSW,BONNYRIGG,2177.0,Fowler,,
NSW,BOSSLEY PARK,2176.0,Fowler,,
NSW,CABRAMATTA,2166.0,Fowler,,
NSW,CABRAMATTA WEST,2166.0,Fowler,,
NSW,CANLEY HEIGHTS,2166.0,Fowler,,
NSW,CANLEY VALE,2166.0,Fowler,,
NSW,CARRAMAR,2163.0,Fowler,,
NSW,CHIPPING NORTON,2170.0,Fowler,,
NSW,EDENSOR PARK,2176.0,Fowler,,
NSW,FAIRFIELD,2165.0,Fowler,,
NSW,FAIRFIELD EAST,2165.0,Fowler,,
NSW,FAIRFIELD WEST,2165.0,Fowler,,
NSW,GREENFIELD PARK,2176.0,Fowler,,
NSW,LANSVALE,2166.0,Fowler,,
NSW,LIVERPOOL,2170.0,Fowler,,
NSW,MOOREBANK,2170.0,Fowler,,
NSW,MOUNT PRITCHARD,2170.0,Fowler,,
NSW,PRAIRIEWOOD,2176.0,Fowler,,
NSW,ST JOHNS PARK,2176.0,Fowler,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,VILLAWOOD,2163.0,Fowler,,
NSW,WAKELEY,2176.0,Fowler,,
NSW,WARWICK FARM,2170.0,Fowler,,
12,12,12.0,12,12.0,12.0
1,2,,,,
