State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ABELS BAY,7112,Franklin,,
TAS,ACTON PARK,7170,Franklin,,
TAS,ADVENTURE BAY,7150,Franklin,,
TAS,ALLENS RIVULET,7150,Franklin,,
TAS,ALONNAH,7150,Franklin,,
TAS,APOLLO BAY,7150,Franklin,,
TAS,BARNES BAY,7150,Franklin,,
TAS,BARRETTA,7054,Franklin,,
TAS,BELLERIVE,7018,Franklin,,
TAS,BIRCHS BAY,7162,Franklin,,
TAS,BLACKMANS BAY,7052,Franklin,,
TAS,BROOKS BAY,7116,Franklin,,
TAS,CAIRNS BAY,7116,Franklin,,
TAS,CAMBRIDGE,7170,Franklin,,
TAS,CASTLE FORBES BAY,7116,Franklin,,
TAS,CHARLOTTE COVE,7112,Franklin,,
TAS,CLARENDON VALE,7019,Franklin,,
TAS,CLIFTON BEACH,7020,Franklin,,
TAS,CONINGHAM,7054,Franklin,,
TAS,CRABTREE,7109,Franklin,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
