State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,BACK FOREST,2535,Gilmore,,
NSW,BAMARANG,2540,Gilmore,,
NSW,BANGALEE,2541,Gilmore,,
NSW,BARREN GROUNDS,2577,Gilmore,,
NSW,BARRENGARRY,2577,Gilmore,,
NSW,BARRINGELLA,2540,Gilmore,,
NSW,BASIN VIEW,2540,Gilmore,,
NSW,BATEHAVEN,2536,Gilmore,,
NSW,BATEMANS BAY,2536,Gilmore,,
NSW,BAWLEY POINT,2539,Gilmore,,
NSW,BEAUMONT,2577,Gilmore,,
NSW,BEECROFT PENINSULA,2540,Gilmore,,
NSW,BELLAWONGARAH,2535,Gilmore,,
NSW,BENANDARAH,2536,Gilmore,,
NSW,BENDALONG,2539,Gilmore,,
NSW,BERGALIA,2537,Gilmore,,
NSW,BERRARA,2540,Gilmore,,
NSW,BERRINGER LAKE,2539,Gilmore,,
NSW,BERRY,2535,Gilmore,,
NSW,BERRY MOUNTAIN,2535,Gilmore,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
