State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,AIRLY,3851,Gippsland,,
VIC,ALBERTON,3971,Gippsland,,
VIC,ALBERTON WEST,3971,Gippsland,,
VIC,ANGLERS REST,3898,Gippsland,,
VIC,ARBUCKLE,3858,Gippsland,,
VIC,BAIRNSDALE,3875,Gippsland,,
VIC,BALOOK,3971,Gippsland,,
VIC,BANKSIA PENINSULA,3875,Gippsland,,
VIC,BELLBIRD CREEK,3889,Gippsland,,
VIC,BEMM RIVER,3889,Gippsland,,
VIC,BENAMBRA,3900,Gippsland,,
VIC,BENDOC,3888,Gippsland,,
VIC,BENGWORDEN,3875,Gippsland,,
VIC,BETE BOLONG,3888,Gippsland,,
VIC,BETE BOLONG NORTH,3888,Gippsland,,
VIC,BILLABONG,3858,Gippsland,,
VIC,BINDI,3896,Gippsland,,
VIC,BINGINWARRI,3966,Gippsland,,
VIC,BINGO MUNJIE,3898,Gippsland,,
VIC,BLACKWARRY,3844,Gippsland,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
