State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BEAUMARIS,3193,Goldstein,,
VIC,BENTLEIGH,3204,Goldstein,,
VIC,BLACK ROCK,3193,Goldstein,,
VIC,BRIGHTON,3186,Goldstein,,
VIC,BRIGHTON EAST,3187,Goldstein,,
VIC,CAULFIELD SOUTH,3162,Goldstein,,
VIC,CHELTENHAM,3192,Goldstein,,
VIC,ELSTERNWICK,3185,Goldstein,,
VIC,GARDENVALE,3185,Goldstein,,
VIC,GLEN HUNTLY,3163,Goldstein,,
VIC,HAMPTON,3188,Goldstein,,
VIC,HAMPTON EAST,3188,Goldstein,,
VIC,HIGHETT,3190,Goldstein,,
VIC,MCKINNON,3204,Goldstein,,
VIC,ORMOND,3204,Goldstein,,
VIC,PATTERSON,3204,Goldstein,,BENTLEIGH
VIC,SANDRINGHAM,3191,Goldstein,,
