State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,AINTREE,3336.0,Gorton,,
VIC,ALBANVALE,3021.0,Gorton,,
VIC,BONNIE BROOK,3335.0,Gorton,,
VIC,BROOKFIELD,3338.0,Gorton,,
VIC,BURNSIDE,3023.0,Gorton,,
VIC,BURNSIDE HEIGHTS,3023.0,Gorton,,
VIC,CAROLINE SPRINGS,3023.0,Gorton,,
VIC,COBBLEBANK,3338.0,Gorton,,
VIC,DEANSIDE,3336.0,Gorton,,
VIC,DEER PARK,3023.0,Gorton,,
VIC,DEER PARK NORTH,3023.0,Gorton,,DEER PARK
VIC,DERRIMUT,3026.0,Gorton,,
VIC,DIGGERS REST,3427.0,Gorton,,
VIC,EXFORD,3338.0,Gorton,,
VIC,EYNESBURY,3338.0,Gorton,,
VIC,FIELDSTONE,3024.0,Gorton,,
VIC,FRASER RISE,3336.0,Gorton,,
VIC,GRANGEFIELDS,3335.0,Gorton,,
VIC,HARKNESS,3337.0,Gorton,,
VIC,HILLSIDE,3037.0,Gorton,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,KURUNJANG,3337.0,Gorton,,
VIC,MELTON,3337.0,Gorton,,
VIC,MELTON SOUTH,3338.0,Gorton,,
VIC,MELTON WEST,3337.0,Gorton,,
VIC,MOUNT COTTRELL,3024.0,Gorton,,
VIC,PARWAN,3340.0,Gorton,,
VIC,PLUMPTON,3335.0,Gorton,,
VIC,RAVENHALL,3023.0,Gorton,,
VIC,ROCKBANK,3335.0,Gorton,,
VIC,STRATHTULLOH,3338.0,Gorton,,
VIC,TAYLORS HILL,3037.0,Gorton,,
VIC,THORNHILL PARK,3335.0,Gorton,,
VIC,TOOLERN VALE,3337.0,Gorton,,
VIC,TRUGANINA,3029.0,Gorton,,
VIC,WEIR VIEWS,3338.0,Gorton,,
12,12,12.0,12,12.0,12.0
1,2,,,,
