State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,AGERY,5558,Grey,,
SA,ALFORD,5555,Grey,,
SA,ALLANDALE STATION,5723,Grey,,
SA,ALMA,5401,Grey,,
SA,AMATA,0872,Grey,,
SA,AMYTON,5431,Grey,,
SA,ANAMA,5464,Grey,,
SA,ANAPALA,0872,Grey,,ERNABELLA
SA,ANDAMOOKA,5722,Grey,,
SA,ANDREWS,5454,Grey,,
SA,ANNA CREEK,5723,Grey,,
SA,APOINGA,5413,Grey,,
SA,APPILA,5480,Grey,,
SA,ARDROSSAN,5571,Grey,,
SA,ARKAROOLA,5701,Grey,,
SA,ARKAROOLA VILLAGE,5701,Grey,,
SA,ARMAGH,5453,Grey,,
SA,ARNO BAY,5603,Grey,,
SA,ARTHURTON,5572,Grey,,
SA,AUBURN,5451,Grey,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
