State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ACLAND,4401,Groom,,
QLD,ASCOT,4359,Groom,,
QLD,ATHOL,4350,Groom,,
QLD,AUBIGNY,4401,Groom,,
QLD,BALGOWAN,4401,Groom,,
QLD,BERGEN,4353,Groom,,
QLD,BIDDESTON,4401,Groom,,
QLD,BIRNAM,4352,Groom,,
QLD,BLUE MOUNTAIN HEIGHTS,4350,Groom,,
QLD,BONGEEN,4356,Groom,,
QLD,BOODUA,4401,Groom,,
QLD,BOWENVILLE,4404,Groom,,
QLD,BRANCHVIEW,4352,Groom,,
QLD,BROOKSTEAD,4364,Groom,,
QLD,BROXBURN,4356,Groom,,
QLD,BRYMAROO,4403,Groom,,
QLD,BUDGEE,4359,Groom,,
QLD,CABARLAH,4352,Groom,,
QLD,CAMBOOYA,4358,Groom,,
QLD,CAWDOR,4352,Groom,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
