State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BLIND BIGHT,3980,Holt,,
VIC,BOTANIC RIDGE,3977,Holt,,
VIC,CANNONS CREEK,3977,Holt,,
VIC,CLYDE,3978,Holt,,
VIC,CLYDE NORTH,3978,Holt,,
VIC,CRANBOURNE,3977,Holt,,
VIC,CRANBOURNE EAST,3977,Holt,,
VIC,CRANBOURNE NORTH,3977,Holt,,
VIC,CRANBOURNE SOUTH,3977,Holt,,
VIC,CRANBOURNE WEST,3977,Holt,,
VIC,DEVON MEADOWS,3977,Holt,,
VIC,FIVEWAYS,3977,Holt,,DEVON MEADOWS
VIC,HAMPTON PARK,3976,Holt,,
VIC,JUNCTION VILLAGE,3977,Holt,,
VIC,LYNBROOK,3975,Holt,,
VIC,LYNDHURST,3975,Holt,,
VIC,NARRE WARREN SOUTH,3805,Holt,,
VIC,PEARCEDALE,3912,Holt,,
VIC,TOORADIN,3980,Holt,,
VIC,WARNEET,3980,Holt,,
