State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALPINE,2575,Hume,,
NSW,APPIN,2560,Hume,,
NSW,AYLMERTON,2575,Hume,,
NSW,BALMORAL,2571,Hume,,
NSW,BANNABY,2580,Hume,,
NSW,BANNISTER,2580,Hume,,
NSW,BARGO,2574,Hume,,
NSW,BAW BAW,2580,Hume,,
NSW,BELANGLO,2577,Hume,,
NSW,BELIMBLA PARK,2570,Hume,,
NSW,BELLMOUNT FOREST,2581,Hume,,
NSW,BERRIMA,2577,Hume,,
NSW,BEVENDALE,2581,Hume,,
NSW,BIALA,2581,Hume,,
NSW,BICKLEY VALE,2570,Hume,,
NSW,BIG HILL,2579,Hume,,
NSW,BIGGA,2583,Hume,,
NSW,BINDA,2583,Hume,,
NSW,BINDOOK,2787,Hume,,
NSW,BLAKNEY CREEK,2581,Hume,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
