State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ABERDARE,2325,Hunter,,
NSW,ABERDEEN,2336,Hunter,,
NSW,ABERNETHY,2325,Hunter,,
NSW,ALLANDALE,2320,Hunter,,
NSW,ANTIENE,2333,Hunter,,MUSWELLBROOK
NSW,APPLETREE FLAT,2330,Hunter,,
NSW,ARCADIA VALE,2283,Hunter,,
NSW,ARGENTON,2284,Hunter,,
NSW,AWABA,2283,Hunter,,
NSW,BAERAMI,2333,Hunter,,
NSW,BAERAMI CREEK,2333,Hunter,,
NSW,BALCOLYN,2264,Hunter,,
NSW,BALMORAL,2283,Hunter,,
NSW,BARNSLEY,2278,Hunter,,
NSW,BELFORD,2335,Hunter,,
NSW,BELLBIRD,2325,Hunter,,
NSW,BELLBIRD HEIGHTS,2325,Hunter,,
NSW,BENGALLA,2333,Hunter,,
NSW,BIG RIDGE,2330,Hunter,,
NSW,BLACKALLS PARK,2283,Hunter,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
