State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ABBEYARD,3737,Indi,,
VIC,ACHERON,3714,Indi,,
VIC,ALEXANDRA,3714,Indi,,
VIC,ALLANS FLAT,3691,Indi,,
VIC,ANCONA,3715,Indi,,
VIC,ARCHERTON,3723,Indi,,
VIC,BACK CREEK,3749,Indi,,YACKANDANDAH
VIC,BADDAGINNIE,3670,Indi,,
VIC,BALMATTUM,3666,Indi,,
VIC,BANDIANA,3691,Indi,,
VIC,BARANDUDA,3691,Indi,,
VIC,BARJARG,3723,Indi,,
VIC,BARNAWARTHA,3688,Indi,,
VIC,BARNAWARTHA NORTH,3691,Indi,,
VIC,BARWIDGEE,3737,Indi,,
VIC,BARWITE,3722,Indi,,
VIC,BEECHWORTH,3747,Indi,,
VIC,BELLBRIDGE,3691,Indi,,
VIC,BENALLA,3672,Indi,,
VIC,BERRINGAMA,3691,Indi,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
