State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ASPENDALE,3195.0,Isaacs,,
VIC,ASPENDALE GARDENS,3195.0,Isaacs,,
VIC,BANGHOLME,3175.0,Isaacs,,
VIC,BONBEACH,3196.0,Isaacs,,
VIC,BRAESIDE,3195.0,Isaacs,,
VIC,CARRUM,3197.0,Isaacs,,
VIC,CHELSEA,3196.0,Isaacs,,
VIC,CHELSEA HEIGHTS,3196.0,Isaacs,,
VIC,CHELTENHAM,3192.0,Isaacs,,
VIC,DANDENONG,3175.0,Isaacs,,
VIC,DANDENONG SOUTH,3175.0,Isaacs,,
VIC,DANDENONG WEST,3175.0,Isaacs,,DANDENONG
VIC,DINGLEY,3172.0,Isaacs,,DINGLEY VILLAGE
VIC,DINGLEY VILLAGE,3172.0,Isaacs,,
VIC,EDITHVALE,3196.0,Isaacs,,
VIC,HEATHERTON,3202.0,Isaacs,,
VIC,HIGHETT,3190.0,Isaacs,,
VIC,KEYSBOROUGH,3173.0,Isaacs,,
VIC,LYNDHURST,3975.0,Isaacs,,
VIC,MENTONE,3194.0,Isaacs,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,MOORABBIN,3189.0,Isaacs,,
VIC,MOORABBIN AIRPORT,3194.0,Isaacs,,
VIC,MORDIALLOC,3195.0,Isaacs,,
VIC,PARKDALE,3195.0,Isaacs,,
VIC,PATTERSON LAKES,3197.0,Isaacs,,
VIC,WATERWAYS,3195.0,Isaacs,,
12,12,12.0,12,12.0,12.0
1,2,,,,
