State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ABERGOWRIE,4850,Kennedy,,
QLD,AGATE CREEK,4871,Kennedy,,GEORGETOWN
QLD,ALABAMA HILL,4820,Kennedy,,
QLD,ALICE RIVER,4817,Kennedy,,
QLD,ALLIGATOR CREEK,4816,Kennedy,,
QLD,ALLINGHAM,4850,Kennedy,,
QLD,ALMADEN,4871,Kennedy,,
QLD,ALOOMBA,4871,Kennedy,,
QLD,ARRIGA,4880,Kennedy,,
QLD,ATHERTON,4883,Kennedy,,
QLD,BABINDA,4861,Kennedy,,
QLD,BALFES CREEK,4820,Kennedy,,
QLD,BALGAL BEACH,4816,Kennedy,,
QLD,BAMBAROO,4850,Kennedy,,
QLD,BAMBOO CREEK,4860,Kennedy,,
QLD,BAMFORD,4871,Kennedy,,PETFORD
QLD,BARKLY,4825,Kennedy,,
QLD,BARRINE,4872,Kennedy,,
QLD,BARRINGHA,4816,Kennedy,,
QLD,BARTLE FRERE,4861,Kennedy,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
