State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,BANKSMEADOW,2019.0,Kingsford Smith,,
NSW,BARE ISLAND,2036.0,Kingsford Smith,,LA PEROUSE
NSW,BOTANY,2019.0,Kingsford Smith,,
NSW,CAPE BANKS,2036.0,Kingsford Smith,,LA PEROUSE
NSW,CHIFLEY,2036.0,Kingsford Smith,,
NSW,CLOVELLY,2031.0,Kingsford Smith,,
NSW,COOGEE,2034.0,Kingsford Smith,,
NSW,DACEYVILLE,2032.0,Kingsford Smith,,
NSW,EAST BOTANY,2035.0,Kingsford Smith,,PAGEWOOD
NSW,EASTGARDENS,2036.0,Kingsford Smith,,
NSW,EASTLAKES,2018.0,Kingsford Smith,,
NSW,FRENCHMANS BAY,2036.0,Kingsford Smith,,LA PEROUSE
NSW,HILLSDALE,2036.0,Kingsford Smith,,
NSW,KENSINGTON,2033.0,Kingsford Smith,,
NSW,KINGSFORD,2032.0,Kingsford Smith,,
NSW,LA PEROUSE,2036.0,Kingsford Smith,,
NSW,LITTLE BAY,2036.0,Kingsford Smith,,
NSW,LONG BAY,2036.0,Kingsford Smith,,MALABAR
NSW,LURLINE BAY,2035.0,Kingsford Smith,,MAROUBRA
NSW,LURLINE BAY,2035.0,Kingsford Smith,,SOUTH COOGEE
12,12,12.0,12,12.0,12
1,2,,,,
NSW,MALABAR,2036.0,Kingsford Smith,,
NSW,MAROUBRA,2035.0,Kingsford Smith,,
NSW,MAROUBRA BAY,2035.0,Kingsford Smith,,MAROUBRA
NSW,MAROUBRA BEACH,2035.0,Kingsford Smith,,MAROUBRA
NSW,MAROUBRA JUNCTION,2035.0,Kingsford Smith,,MAROUBRA
NSW,MASCOT,2020.0,Kingsford Smith,,
NSW,MATRAVILLE,2036.0,Kingsford Smith,,
NSW,PAGEWOOD,2035.0,Kingsford Smith,,
NSW,PHILLIP BAY,2036.0,Kingsford Smith,,
NSW,PORT BOTANY,2036.0,Kingsford Smith,,
NSW,PRINCE HENRY HOSPITAL,2036.0,Kingsford Smith,,LITTLE BAY
NSW,RANDWICK,2031.0,Kingsford Smith,,
NSW,ROSEBERY,2018.0,Kingsford Smith,,
NSW,SOUTH COOGEE,2034.0,Kingsford Smith,,
NSW,UNIVERSITY OF NSW,2052.0,Kingsford Smith,,
NSW,YARRA BAY,2036.0,Kingsford Smith,,PHILLIP BAY
12,12,12.0,12,12.0,12
1,2,,,,
