State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ABERFOYLE PARK,5159.0,Kingston,,
SA,CHANDLERS HILL,5159.0,Kingston,,
SA,CHRISTIE DOWNS,5164.0,Kingston,,
SA,CHRISTIES BEACH,5165.0,Kingston,,
SA,DARLINGTON,5047.0,Kingston,,
SA,FLAGSTAFF HILL,5159.0,Kingston,,
SA,HACKHAM,5163.0,Kingston,,
SA,HACKHAM WEST,5163.0,Kingston,,
SA,HALLETT COVE,5158.0,Kingston,,
SA,HAPPY VALLEY,5159.0,Kingston,,
SA,HUNTFIELD HEIGHTS,5163.0,Kingston,,
SA,LONSDALE,5160.0,Kingston,,
SA,MASLIN BEACH,5170.0,Kingston,,
SA,MOANA,5169.0,Kingston,,
SA,MORPHETT VALE,5162.0,Kingston,,
SA,NOARLUNGA CENTRE,5168.0,Kingston,,
SA,NOARLUNGA DOWNS,5168.0,Kingston,,
SA,O'HALLORAN HILL,5158.0,Kingston,,
SA,OLD NOARLUNGA,5168.0,Kingston,,
SA,OLD REYNELLA,5161.0,Kingston,,
12,12,12.0,12,12.0,12.0
1,2,,,,
SA,ONKAPARINGA HILLS,5163.0,Kingston,,
SA,O'SULLIVAN BEACH,5166.0,Kingston,,
SA,PORT NOARLUNGA,5167.0,Kingston,,
SA,PORT NOARLUNGA SOUTH,5167.0,Kingston,,
SA,REYNELLA,5161.0,Kingston,,
SA,REYNELLA EAST,5161.0,Kingston,,
SA,SEAFORD,5169.0,Kingston,,
SA,SEAFORD HEIGHTS,5169.0,Kingston,,
SA,SEAFORD MEADOWS,5169.0,Kingston,,
SA,SEAFORD RISE,5169.0,Kingston,,
SA,SHEIDOW PARK,5158.0,Kingston,,
SA,TROTT PARK,5158.0,Kingston,,
SA,WOODCROFT,5162.0,Kingston,,
12,12,12.0,12,12.0,12.0
1,2,,,,
