State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,AEROGLEN,4870,Leichhardt,,
QLD,ARCHER RIVER,4892,Leichhardt,,
QLD,AURUKUN,4892,Leichhardt,,
QLD,AYTON,4895,Leichhardt,,
QLD,BADU ISLAND,4875,Leichhardt,,
QLD,BAMAGA,4876,Leichhardt,,
QLD,BAMBOO,4873,Leichhardt,,
QLD,BARRON,4878,Leichhardt,,
QLD,BAYVIEW HEIGHTS,4868,Leichhardt,,
QLD,BLOOMFIELD,4895,Leichhardt,,
QLD,BOIGU ISLAND,4875,Leichhardt,,
QLD,BONNIE DOON,4873,Leichhardt,,
QLD,BOOBY ISLAND,4875,Leichhardt,,
QLD,BRINSMEAD,4870,Leichhardt,,
QLD,BUCHAN POINT,4879,Leichhardt,,PALM COVE
QLD,BUNGALOW,4870,Leichhardt,,
QLD,BYERSTOWN,4871,Leichhardt,,
QLD,CAIRNS CITY,4870,Leichhardt,,
QLD,CAIRNS NORTH,4870,Leichhardt,,
QLD,CAPE TRIBULATION,4873,Leichhardt,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
