State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AGNES BANKS,2753.0,Lindsay,,
NSW,BADGERYS CREEK,2555.0,Lindsay,,
NSW,BERKSHIRE PARK,2765.0,Lindsay,,
NSW,CADDENS,2747.0,Lindsay,,
NSW,CAMBRIDGE GARDENS,2747.0,Lindsay,,
NSW,CAMBRIDGE PARK,2747.0,Lindsay,,
NSW,CASTLEREAGH,2749.0,Lindsay,,
NSW,CLAREMONT MEADOWS,2747.0,Lindsay,,
NSW,COLYTON,2760.0,Lindsay,,
NSW,CRANEBROOK,2749.0,Lindsay,,
NSW,DUNHEVED,2760.0,Lindsay,,ST MARYS
NSW,EMU HEIGHTS,2750.0,Lindsay,,
NSW,EMU PLAINS,2750.0,Lindsay,,
NSW,GLENMORE PARK,2745.0,Lindsay,,
NSW,JAMISONTOWN,2750.0,Lindsay,,
NSW,JORDAN SPRINGS,2747.0,Lindsay,,
NSW,KINGSWOOD,2747.0,Lindsay,,
NSW,KINGSWOOD PARK,2750.0,Lindsay,,PENRITH
NSW,LEMONGROVE,2750.0,Lindsay,,PENRITH
NSW,LEONAY,2750.0,Lindsay,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,LLANDILO,2747.0,Lindsay,,
NSW,LONDONDERRY,2753.0,Lindsay,,
NSW,LUDDENHAM,2745.0,Lindsay,,
NSW,MOUNT PLEASANT,2749.0,Lindsay,,CRANEBROOK
NSW,MULGOA,2745.0,Lindsay,,
NSW,NORTH ST MARYS,2760.0,Lindsay,,
NSW,ORCHARD HILLS,2748.0,Lindsay,,
NSW,OXLEY PARK,2760.0,Lindsay,,
NSW,PENRITH,2750.0,Lindsay,,
NSW,RAAF ORCHARD HILLS,2748.0,Lindsay,,
NSW,REGENTVILLE,2745.0,Lindsay,,
NSW,SOUTH PENRITH,2750.0,Lindsay,,
NSW,ST MARYS,2760.0,Lindsay,,
NSW,WERRINGTON,2747.0,Lindsay,,
NSW,WERRINGTON COUNTY,2747.0,Lindsay,,
NSW,WERRINGTON DOWNS,2747.0,Lindsay,,
12,12,12.0,12,12.0,12
1,2,,,,
