State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NT,10 MILE,0872,Lingiari,Northern Territory,
NT,10 MILE OUTSTATION,0872,Lingiari,Northern Territory,
NT,11 MILE,0828,Lingiari,Northern Territory,KNUCKEY LAGOON INDIG VLGE
NT,15 MILE,0830,Lingiari,Northern Territory,PALMERSTON INDIGENOUS VLG
NT,4 MILE CAMP,0822,Lingiari,Northern Territory,
NT,5 MILE BORE,0872,Lingiari,Northern Territory,
NT,ABBOTS CAMP,0870,Lingiari,Northern Territory,MPWETYERRE
NT,ACACIA HILLS,0822,Lingiari,Northern Territory,
NT,ACACIA LARRAKIA,0822,Lingiari,Northern Territory,
NT,ADBANAE,0822,Lingiari,Northern Territory,
NT,ADDER STN,0862,Lingiari,Northern Territory,
NT,ADELAIDE BORE,0872,Lingiari,Northern Territory,
NT,ADELAIDE RIVER,0846,Lingiari,Northern Territory,
NT,ADJAMARRAGU,0822,Lingiari,Northern Territory,
NT,AILERON,0872,Lingiari,Northern Territory,
NT,AILERON STN,0872,Lingiari,Northern Territory,
NT,AKANTA,0872,Lingiari,Northern Territory,
NT,AKARNENEHE WELL,0872,Lingiari,Northern Territory,
NT,AKNGWERTNARRE,0870,Lingiari,Northern Territory,
NT,AKWALIRRUMANJA,0822,Lingiari,Northern Territory,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
