State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,BANKSIA BEACH,4507,Longman,,
QLD,BEACHMERE,4510,Longman,,
QLD,BELLARA,4507,Longman,,
QLD,BELLMERE,4510,Longman,,
QLD,BELLTHORPE,4514,Longman,,
QLD,BONGAREE,4507,Longman,,
QLD,BOOROOBIN,4552,Longman,,
QLD,BRACALBA,4512,Longman,,
QLD,BRIBIE ISLAND,4507,Longman,,BANKSIA BEACH
QLD,BRIBIE ISLAND,4507,Longman,,BELLARA
QLD,BRIBIE ISLAND,4507,Longman,,BONGAREE
QLD,BRIBIE ISLAND,4507,Longman,,WHITE PATCH
QLD,BRIBIE ISLAND,4507,Longman,,WOORIM
QLD,BURPENGARY,4505,Longman,,
QLD,BURPENGARY EAST,4505,Longman,,
QLD,CABOOLTURE,4510,Longman,,
QLD,CABOOLTURE SOUTH,4510,Longman,,
QLD,CAMPBELLS POCKET,4521,Longman,,
QLD,CEDARTON,4514,Longman,,
QLD,COMMISSIONERS FLAT,4514,Longman,,
123,123,123,123,123.0,123
1,2,3,,,
QLD,D'AGUILAR,4514,Longman,,
QLD,DAKABIN,4503,Longman,,
QLD,DELANEYS CREEK,4514,Longman,,
QLD,DONNYBROOK,4510,Longman,,
QLD,ELIMBAH,4516,Longman,,
QLD,GODWIN BEACH,4511,Longman,,
QLD,KALLANGUR,4503,Longman,,
QLD,MELDALE,4510,Longman,,
QLD,MOODLU,4510,Longman,,
QLD,MOORINA,4506,Longman,,
QLD,MORAYFIELD,4506,Longman,,
QLD,MOUNT DELANEY,4514,Longman,,
QLD,MOUNT MEE,4521,Longman,,
QLD,NARANGBA,4504,Longman,,
QLD,NEURUM,4514,Longman,,
QLD,NINGI,4511,Longman,,
QLD,ROCKSBERG,4510,Longman,,
QLD,SANDSTONE POINT,4511,Longman,,
QLD,STANMORE,4514,Longman,,
QLD,STONY CREEK,4514,Longman,,
123,123,123,123,123.0,123.0
1,2,3,,,
QLD,TOORBUL,4510,Longman,,
QLD,UPPER CABOOLTURE,4510,Longman,,
QLD,WAMURAN,4512,Longman,,
QLD,WAMURAN BASIN,4512,Longman,,
QLD,WHITE PATCH,4507,Longman,,
QLD,WOODFORD,4514,Longman,,
QLD,WOORIM,4507,Longman,,
123,123,123,123,123.0,123.0
1,2,3,,,
