State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALISON,2420,Lyne,,
NSW,ALLWORTH,2425,Lyne,,
NSW,ALLYNBROOK,2311,Lyne,,
NSW,BACK CREEK,2422,Lyne,,
NSW,BAGNOO,2446,Lyne,,
NSW,BAGO,2446,Lyne,,
NSW,BAKERS CREEK,2422,Lyne,,
NSW,BALICKERA,2324,Lyne,,
NSW,BALLENGARRA,2441,Lyne,,
NSW,BANDA BANDA,2446,Lyne,,
NSW,BANDON GROVE,2420,Lyne,,
NSW,BARRINGTON,2422,Lyne,,
NSW,BARRINGTON TOPS,2422,Lyne,,
NSW,BATAR CREEK,2439,Lyne,,
NSW,BAXTERS RIDGE,2422,Lyne,,
NSW,BEECHWOOD,2446,Lyne,,
NSW,BELBORA,2422,Lyne,,
NSW,BELLANGRY,2446,Lyne,,
NSW,BENDOLBA,2420,Lyne,,
NSW,BERRICO,2422,Lyne,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
