State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ABERDEEN,7310,Lyons,,
TAS,ACACIA HILLS,7306,Lyons,,
TAS,AKAROA,7216,Lyons,,
TAS,ANDOVER,7120,Lyons,,
TAS,ANSONS BAY,7264,Lyons,,
TAS,ANTILL PONDS,7120,Lyons,,
TAS,APSLAWN,7190,Lyons,,
TAS,APSLEY,7030,Lyons,,
TAS,ARTHURS LAKE,7030,Lyons,,
TAS,AVOCA,7213,Lyons,,
TAS,BADEN,7120,Lyons,,
TAS,BAGDAD,7030,Lyons,,
TAS,BARRINGTON,7306,Lyons,,
TAS,BEAUMARIS,7215,Lyons,,
TAS,BEN LOMOND,7212,Lyons,,
TAS,BEULAH,7306,Lyons,,
TAS,BICHENO,7215,Lyons,,
TAS,BINALONG BAY,7216,Lyons,,
TAS,BIRRALEE,7303,Lyons,,
TAS,BISHOPSBOURNE,7301,Lyons,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
