State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALBERT PARK,3206.0,Macnamara,,
VIC,BALACLAVA,3183.0,Macnamara,,
VIC,CAULFIELD,3162.0,Macnamara,,
VIC,CAULFIELD EAST,3145.0,Macnamara,,
VIC,CAULFIELD NORTH,3161.0,Macnamara,,
VIC,DOCKLANDS,3008.0,Macnamara,,
VIC,EAST CAULFIELD,3145.0,Macnamara,,CAULFIELD EAST
VIC,EAST ST KILDA,3183.0,Macnamara,,ST KILDA EAST
VIC,ELSTERNWICK,3185.0,Macnamara,,
VIC,ELWOOD,3184.0,Macnamara,,
VIC,FISHERMANS BEND,3207.0,Macnamara,,PORT MELBOURNE
VIC,GLEN HUNTLY,3163.0,Macnamara,,
VIC,MELBOURNE,3004.0,Macnamara,,
VIC,MIDDLE PARK,3206.0,Macnamara,,
VIC,NORTH CAULFIELD,3161.0,Macnamara,,CAULFIELD NORTH
VIC,PORT MELBOURNE,3207.0,Macnamara,,
VIC,RIPPONLEA,3185.0,Macnamara,,
VIC,SOUTH MELBOURNE,3205.0,Macnamara,,
VIC,SOUTH WHARF,3006.0,Macnamara,,
VIC,SOUTH YARRA,3141.0,Macnamara,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,SOUTHBANK,3006.0,Macnamara,,
VIC,ST KILDA,3182.0,Macnamara,,
VIC,ST KILDA EAST,3183.0,Macnamara,,
VIC,ST KILDA WEST,3182.0,Macnamara,,
VIC,WEST ST KILDA,3182.0,Macnamara,,ST KILDA WEST
VIC,WINDSOR,3181.0,Macnamara,,
12,12,12.0,12,12.0,12
1,2,,,,
