State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AGNES BANKS,2753,Macquarie,,
NSW,BELL,2786,Macquarie,,
NSW,BERAMBING,2758,Macquarie,,
NSW,BILPIN,2758,Macquarie,,
NSW,BLACKHEATH,2785,Macquarie,,
NSW,BLAXLAND,2774,Macquarie,,
NSW,BLAXLANDS RIDGE,2758,Macquarie,,
NSW,BLIGH PARK,2756,Macquarie,,
NSW,BOWEN MOUNTAIN,2753,Macquarie,,
NSW,BULLABURRA,2784,Macquarie,,
NSW,CATTAI,2756,Macquarie,,
NSW,CENTRAL COLO,2756,Macquarie,,
NSW,CENTRAL MACDONALD,2775,Macquarie,,
NSW,CLARENDON,2756,Macquarie,,
NSW,COLO,2756,Macquarie,,
NSW,COLO HEIGHTS,2756,Macquarie,,
NSW,CORNWALLIS,2756,Macquarie,,
NSW,CUMBERLAND REACH,2756,Macquarie,,
NSW,EAST BLAXLAND,2774,Macquarie,,BLAXLAND
NSW,EAST KURRAJONG,2758,Macquarie,,
12345,12345,12345,12345,12345.0,12345
1,2,3,4,5.0,
NSW,EBENEZER,2756,Macquarie,,
NSW,FAULCONBRIDGE,2776,Macquarie,,
NSW,FERNANCES,2775,Macquarie,,
NSW,FREEMANS REACH,2756,Macquarie,,
NSW,GLENBROOK,2773,Macquarie,,
NSW,GLOSSODIA,2756,Macquarie,,
NSW,GROSE VALE,2753,Macquarie,,
NSW,GROSE WOLD,2753,Macquarie,,
NSW,HAWKESBURY HEIGHTS,2777,Macquarie,,
NSW,HAZELBROOK,2779,Macquarie,,
NSW,HIGHER MACDONALD,2775,Macquarie,,
NSW,HOBARTVILLE,2753,Macquarie,,
NSW,KATOOMBA,2780,Macquarie,,
NSW,KURMOND,2757,Macquarie,,
NSW,KURRAJONG,2758,Macquarie,,
NSW,KURRAJONG HEIGHTS,2758,Macquarie,,
NSW,KURRAJONG HILLS,2758,Macquarie,,
NSW,LAPSTONE,2773,Macquarie,,
NSW,LAWSON,2783,Macquarie,,
NSW,LEETS VALE,2775,Macquarie,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
NSW,LEURA,2780,Macquarie,,
NSW,LINDEN,2778,Macquarie,,
NSW,LOWER MACDONALD,2775,Macquarie,,
NSW,LOWER PORTLAND,2756,Macquarie,,
NSW,MARAYLYA,2765,Macquarie,,
NSW,MCGRATHS HILL,2756,Macquarie,,
NSW,MEDLOW BATH,2780,Macquarie,,
NSW,MEGALONG,2785,Macquarie,,MEGALONG VALLEY
NSW,MEGALONG VALLEY,2785,Macquarie,,
NSW,MELLONG,2756,Macquarie,,
NSW,MOGO CREEK,2775,Macquarie,,
NSW,MOUNT IRVINE,2786,Macquarie,,
NSW,MOUNT RIVERVIEW,2774,Macquarie,,
NSW,MOUNT TOMAH,2758,Macquarie,,
NSW,MOUNT VICTORIA,2786,Macquarie,,
NSW,MOUNT WILSON,2786,Macquarie,,
NSW,MOUNTAIN LAGOON,2758,Macquarie,,
NSW,MULGRAVE,2756,Macquarie,,
NSW,NORTH RICHMOND,2754,Macquarie,,
NSW,OAKVILLE,2765,Macquarie,,
12345,12345,12345,12345,12345.0,12345
1,2,3,4,5.0,
NSW,PERRYS CROSSING,2775,Macquarie,,
NSW,PITT TOWN,2756,Macquarie,,
NSW,PITT TOWN BOTTOMS,2756,Macquarie,,
NSW,PUTTY,2330,Macquarie,,
NSW,RAAF GLENBROOK,2773,Macquarie,,
NSW,RAAF RICHMOND,2755,Macquarie,,
NSW,RICHMOND,2753,Macquarie,,
NSW,RICHMOND LOWLANDS,2753,Macquarie,,
NSW,SACKVILLE,2756,Macquarie,,
NSW,SCHEYVILLE,2756,Macquarie,,
NSW,SOUTH WINDSOR,2756,Macquarie,,
NSW,SPRINGWOOD,2777,Macquarie,,
NSW,ST ALBANS,2775,Macquarie,,
NSW,SUN VALLEY,2777,Macquarie,,
NSW,TEN MILE HOLLOW,2250,Macquarie,,
NSW,TENNYSON,2754,Macquarie,,
NSW,THE SLOPES,2754,Macquarie,,
NSW,UPPER COLO,2756,Macquarie,,
NSW,UPPER MACDONALD,2775,Macquarie,,
NSW,VALLEY HEIGHTS,2777,Macquarie,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
NSW,VINEYARD,2765,Macquarie,,
NSW,WARRIMOO,2774,Macquarie,,
NSW,WEBBS CREEK,2775,Macquarie,,
NSW,WENTWORTH FALLS,2782,Macquarie,,
NSW,WHEENY CREEK,2758,Macquarie,,
NSW,WILBERFORCE,2756,Macquarie,,
NSW,WINDSOR,2756,Macquarie,,
NSW,WINDSOR DOWNS,2756,Macquarie,,
NSW,WINMALEE,2777,Macquarie,,
NSW,WISEMANS FERRY,2775,Macquarie,,
NSW,WOODFORD,2778,Macquarie,,
NSW,WRIGHTS CREEK,2775,Macquarie,,
NSW,YARRAMUNDI,2753,Macquarie,,
NSW,YELLOW ROCK,2777,Macquarie,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
