State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,BANKSIA PARK,5091.0,Makin,,
SA,CAVAN,5094.0,Makin,,
SA,DRY CREEK,5094.0,Makin,,
SA,FAIRVIEW PARK,5126.0,Makin,,
SA,GEPPS CROSS,5094.0,Makin,,
SA,GLOBE DERBY PARK,5110.0,Makin,,
SA,GOLDEN GROVE,5125.0,Makin,,
SA,GOULD CREEK,5114.0,Makin,,
SA,GREEN FIELDS,5107.0,Makin,,
SA,GREENWITH,5125.0,Makin,,
SA,GULFVIEW HEIGHTS,5096.0,Makin,,
SA,HOPE VALLEY,5090.0,Makin,,
SA,HOUGHTON,5131.0,Makin,,
SA,INGLE FARM,5098.0,Makin,,
SA,MAWSON LAKES,5095.0,Makin,,
SA,MODBURY,5092.0,Makin,,
SA,MODBURY HEIGHTS,5092.0,Makin,,
SA,MODBURY NORTH,5092.0,Makin,,
SA,NORTHFIELD,5085.0,Makin,,
SA,PARA HILLS,5096.0,Makin,,
12,12,12.0,12,12.0,12.0
1,2,,,,
SA,PARA HILLS WEST,5096.0,Makin,,
SA,PARA VISTA,5093.0,Makin,,
SA,PARAFIELD,5106.0,Makin,,
SA,PARAFIELD GARDENS,5107.0,Makin,,
SA,POORAKA,5095.0,Makin,,
SA,REDWOOD PARK,5097.0,Makin,,
SA,RIDGEHAVEN,5097.0,Makin,,
SA,SALISBURY EAST,5109.0,Makin,,
SA,SALISBURY HEIGHTS,5109.0,Makin,,
SA,ST AGNES,5097.0,Makin,,
SA,SURREY DOWNS,5126.0,Makin,,
SA,TEA TREE GULLY,5091.0,Makin,,
SA,UPPER HERMITAGE,5131.0,Makin,,
SA,VALLEY VIEW,5093.0,Makin,,
SA,VISTA,5091.0,Makin,,
SA,WALKLEY HEIGHTS,5098.0,Makin,,
SA,WINGFIELD,5013.0,Makin,,
SA,WYNN VALE,5127.0,Makin,,
SA,YATALA VALE,5126.0,Makin,,
12,12,12.0,12,12.0,12.0
1,2,,,,
