State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ADELAIDE LEAD,3465,Mallee,,
VIC,ALBACUTYA,3424,Mallee,,
VIC,ALMA,3465,Mallee,,
VIC,AMHERST,3371,Mallee,,
VIC,AMPHITHEATRE,3468,Mallee,,
VIC,ANNUELLO,3549,Mallee,,
VIC,ANTWERP,3414,Mallee,,
VIC,APPIN,3579,Mallee,,
VIC,APPIN SOUTH,3579,Mallee,,
VIC,APSLEY,3319,Mallee,,
VIC,ARAPILES,3409,Mallee,,
VIC,ARCHDALE,3475,Mallee,,
VIC,ARCHDALE JUNCTION,3475,Mallee,,
VIC,AREEGRA,3480,Mallee,,
VIC,ARNOLD,3551,Mallee,,
VIC,ARNOLD WEST,3551,Mallee,,
VIC,AUBREY,3393,Mallee,,
VIC,AUCHMORE,3570,Mallee,,
VIC,AVOCA,3467,Mallee,,
VIC,AVON PLAINS,3477,Mallee,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
