State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ADAVALE,4474,Maranoa,,
QLD,ALICE CREEK,4610,Maranoa,,
QLD,ALLAN,4370,Maranoa,,
QLD,ALLORA,4362,Maranoa,,
QLD,ALPHA,4724,Maranoa,,
QLD,AMBY,4462,Maranoa,,
QLD,AMIENS,4380,Maranoa,,
QLD,ANDURAMBA,4355,Maranoa,,
QLD,APPLETHORPE,4378,Maranoa,,
QLD,ARAMAC,4726,Maranoa,,
QLD,AUBURN,4413,Maranoa,,
QLD,AUGATHELLA,4477,Maranoa,,
QLD,BACK PLAINS,4361,Maranoa,,
QLD,BAFFLE WEST,4454,Maranoa,,
QLD,BAKERS BEND,4470,Maranoa,,
QLD,BAKING BOARD,4413,Maranoa,,
QLD,BALLANDEAN,4382,Maranoa,,
QLD,BALLAROO,4455,Maranoa,,
QLD,BAPAUME,4352,Maranoa,,
QLD,BARAKULA,4413,Maranoa,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
