State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ALDGATE,5154,Mayo,,
SA,ALDINGA,5173,Mayo,,
SA,ALDINGA BEACH,5173,Mayo,,
SA,AMERICAN BEACH,5222,Mayo,,
SA,AMERICAN RIVER,5221,Mayo,,
SA,ANGAS PLAINS,5255,Mayo,,
SA,ANTECHAMBER BAY,5222,Mayo,,
SA,ASHBOURNE,5157,Mayo,,
SA,ASHTON,5137,Mayo,,
SA,BACK VALLEY,5211,Mayo,,
SA,BALD HILLS,5203,Mayo,,
SA,BALHANNAH,5242,Mayo,,
SA,BALLAST HEAD,5221,Mayo,,
SA,BASKET RANGE,5138,Mayo,,
SA,BAUDIN BEACH,5222,Mayo,,
SA,BAY OF SHOALS,5223,Mayo,,
SA,BELAIR,5052,Mayo,,
SA,BELVIDERE,5255,Mayo,,
SA,BIGGS FLAT,5153,Mayo,,
SA,BIRCHMORE,5223,Mayo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
