State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ABBOTSBURY,2176.0,McMahon,,
NSW,BLACKTOWN,2148.0,McMahon,,
NSW,BOSSLEY PARK,2176.0,McMahon,,
NSW,CANLEY VALE,2166.0,McMahon,,
NSW,CECIL PARK,2178.0,McMahon,,
NSW,EASTERN CREEK,2766.0,McMahon,,
NSW,ERSKINE PARK,2759.0,McMahon,,
NSW,FAIRFIELD,2165.0,McMahon,,
NSW,FAIRFIELD HEIGHTS,2165.0,McMahon,,
NSW,FAIRFIELD WEST,2165.0,McMahon,,
NSW,GREYSTANES,2145.0,McMahon,,
NSW,GUILDFORD,2161.0,McMahon,,
NSW,GUILDFORD WEST,2161.0,McMahon,,
NSW,HORSLEY PARK,2175.0,McMahon,,
NSW,HUNTINGWOOD,2148.0,McMahon,,
NSW,KEMPS CREEK,2178.0,McMahon,,
NSW,MERRYLANDS,2160.0,McMahon,,
NSW,MERRYLANDS WEST,2160.0,McMahon,,
NSW,MINCHINBURY,2770.0,McMahon,,
NSW,MOUNT VERNON,2178.0,McMahon,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,OLD GUILDFORD,2161.0,McMahon,,
NSW,ORCHARD HILLS,2748.0,McMahon,,
NSW,PEMULWUY,2145.0,McMahon,,
NSW,PRAIRIEWOOD,2176.0,McMahon,,
NSW,PROSPECT,2148.0,McMahon,,
NSW,SMITHFIELD,2164.0,McMahon,,
NSW,SOUTH WENTWORTHVILLE,2145.0,McMahon,,
NSW,ST CLAIR,2759.0,McMahon,,
NSW,WETHERILL PARK,2164.0,McMahon,,
NSW,WOODPARK,2164.0,McMahon,,
NSW,YENNORA,2161.0,McMahon,,
12,12,12.0,12,12.0,12.0
1,2,,,,
