State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,BILINGA,4225.0,McPherson,,
QLD,BONOGIN,4213.0,McPherson,,
QLD,BURLEIGH HEADS,4220.0,McPherson,,
QLD,BURLEIGH WATERS,4220.0,McPherson,,
QLD,CLEAR ISLAND WATERS,4226.0,McPherson,,
QLD,COOLANGATTA,4225.0,McPherson,,
QLD,CURRUMBIN,4223.0,McPherson,,
QLD,CURRUMBIN VALLEY,4223.0,McPherson,,
QLD,CURRUMBIN WATERS,4223.0,McPherson,,
QLD,ELANORA,4221.0,McPherson,,
QLD,KIRRA,4225.0,McPherson,,COOLANGATTA
QLD,MERRIMAC,4226.0,McPherson,,
QLD,MIAMI,4220.0,McPherson,,
QLD,MUDGEERABA,4213.0,McPherson,,
QLD,PALM BEACH,4221.0,McPherson,,
QLD,RAINBOW BAY,4225.0,McPherson,,COOLANGATTA
QLD,REEDY CREEK,4227.0,McPherson,,
QLD,ROBINA,4226.0,McPherson,,
QLD,TALLEBUDGERA,4228.0,McPherson,,
QLD,TALLEBUDGERA VALLEY,4228.0,McPherson,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,TUGUN,4224.0,McPherson,,
QLD,VARSITY LAKES,4227.0,McPherson,,
12,12,12.0,12,12.0,12.0
1,2,,,,
